"Date","Time","Open","High","Low","Close","Vol","OI"
05/14/2001,16:00,0.16580,0.16780,0.16580,0.16590,440,24306
05/15/2001,16:00,0.16780,0.16780,0.16210,0.16780,315,24560
05/16/2001,16:00,0.16980,0.17050,0.16520,0.17000,376,25121
05/17/2001,16:00,0.17430,0.17560,0.17430,0.17430,808,23912
05/18/2001,16:00,0.17410,0.17630,0.17080,0.17570,334,23912
05/21/2001,16:00,0.17570,0.17960,0.17310,0.17310,454,25320
05/22/2001,16:00,0.17480,0.17510,0.16850,0.17000,288,25541
05/23/2001,16:00,0.17050,0.17050,0.16370,0.16370,422,25471
05/24/2001,16:00,0.16510,0.16620,0.16510,0.16620,808,25070
05/28/2001,16:00,0.16670,0.16890,0.16470,0.16730,19,24837
05/29/2001,16:00,0.16570,0.16840,0.16120,0.16400,192,24824
05/30/2001,16:00,0.15940,0.16700,0.15940,0.15940,384,23020
05/31/2001,16:00,0.15920,0.15920,0.15030,0.15310,394,23095
06/04/2001,16:00,0.15540,0.15770,0.15270,0.15430,158,21962
06/05/2001,16:00,0.15380,0.15730,0.15150,0.15670,196,21631
06/06/2001,16:00,0.15640,0.16420,0.15570,0.16310,398,20891
06/07/2001,16:00,0.16180,0.16720,0.15990,0.16650,201,18205
06/08/2001,16:00,0.16720,0.17260,0.16570,0.17230,173,17880
06/11/2001,16:00,0.17220,0.17340,0.16870,0.16870,66,17271
06/12/2001,16:00,0.16770,0.17170,0.16670,0.17170,58,15723
06/13/2001,16:00,0.17780,0.18280,0.17780,0.18180,44,14840
06/14/2001,16:00,0.18220,0.18220,0.17630,0.18030,118,13659
06/15/2001,16:00,0.17770,0.18330,0.17680,0.17930,27,13055
06/18/2001,16:00,0.17810,0.17810,0.17810,0.17810,8,12494
06/19/2001,16:00,0.17810,0.17810,0.17810,0.17810,0,16327
06/22/2001,16:00,0.16830,0.17020,0.16640,0.16790,127,15800
06/25/2001,16:00,0.16920,0.17030,0.16730,0.16920,113,15730
06/26/2001,16:00,0.16890,0.17430,0.16810,0.17420,319,15948
06/27/2001,16:00,0.17410,0.17410,0.16740,0.17280,265,15813
06/28/2001,16:00,0.17030,0.17140,0.15810,0.15910,286,15779
06/29/2001,16:00,0.15840,0.16280,0.15690,0.16170,228,16828
07/02/2001,16:00,0.16210,0.16430,0.16030,0.16420,310,17557
07/03/2001,16:00,0.16290,0.17020,0.16270,0.17020,369,18386
07/05/2001,16:00,0.16970,0.17210,0.16610,0.16680,199,19147
07/06/2001,16:00,0.16540,0.16710,0.15640,0.15990,388,18005
07/09/2001,16:00,0.16080,0.16280,0.15690,0.16280,206,18260
07/10/2001,16:00,0.16330,0.16550,0.16020,0.16150,238,17873
07/11/2001,16:00,0.16430,0.16500,0.15710,0.15740,343,19773
07/12/2001,16:00,0.15730,0.15950,0.15350,0.15740,727,20347
07/13/2001,16:00,0.15810,0.16080,0.15740,0.16050,156,20627
07/16/2001,16:00,0.16080,0.16360,0.15950,0.15990,305,20828
07/17/2001,16:00,0.15980,0.16190,0.15760,0.16140,148,21327
07/18/2001,16:00,0.16260,0.16760,0.16080,0.16720,313,20986
07/19/2001,16:00,0.16830,0.17060,0.16470,0.16580,305,21166
07/20/2001,16:00,0.16520,0.16720,0.15690,0.15800,398,21367
07/23/2001,16:00,0.15840,0.16110,0.15780,0.16050,328,21368
07/24/2001,16:00,0.16070,0.16190,0.15940,0.16190,173,21366
07/25/2001,16:00,0.16230,0.16270,0.15830,0.15990,138,21476
07/26/2001,16:00,0.16040,0.16400,0.15950,0.16150,263,21442
07/27/2001,16:00,0.16150,0.16170,0.15670,0.16040,333,22009
07/30/2001,16:00,0.16070,0.16100,0.15730,0.15820,207,22280
07/31/2001,16:00,0.15850,0.16240,0.15440,0.16210,713,23017
08/01/2001,16:00,0.16200,0.17210,0.16070,0.17080,808,21135
08/02/2001,16:00,0.17070,0.17380,0.16950,0.17270,740,21108
08/03/2001,16:00,0.17250,0.17320,0.16730,0.17100,1600,20455
08/06/2001,16:00,0.17140,0.17140,0.16830,0.17010,1036,20585
08/07/2001,16:00,0.17010,0.17070,0.16730,0.16810,1031,20674
08/08/2001,16:00,0.16850,0.17230,0.16720,0.17200,1683,21108
08/09/2001,16:00,0.17210,0.17260,0.16180,0.16390,4875,21115
08/10/2001,16:00,0.16540,0.16940,0.16430,0.16630,2712,20904
08/13/2001,16:00,0.16630,0.17180,0.16610,0.17080,1425,21085
08/14/2001,16:00,0.16970,0.17560,0.16790,0.17450,3197,21432
08/15/2001,16:00,0.17410,0.18210,0.17360,0.18200,6842,23015
08/16/2001,16:00,0.18200,0.18410,0.17650,0.17700,4794,23958
08/17/2001,16:00,0.17710,0.18950,0.17670,0.18930,9851,25059
08/20/2001,16:00,0.19030,0.19030,0.18480,0.18540,2007,24754
08/21/2001,16:00,0.18580,0.18780,0.18160,0.18780,2375,24033
08/22/2001,16:00,0.18830,0.19220,0.18560,0.18650,2442,24462
08/23/2001,16:00,0.18680,0.18900,0.18440,0.18670,1882,24644
08/24/2001,16:00,0.18640,0.18860,0.18180,0.18730,1938,25238
08/27/2001,16:00,0.18740,0.18750,0.17950,0.18220,3167,25864
08/28/2001,16:00,0.18180,0.18350,0.17790,0.18350,428,25864
08/29/2001,16:00,0.18290,0.18480,0.18030,0.18230,1670,25593
08/30/2001,16:00,0.18150,0.18690,0.18120,0.18490,2068,25343
08/31/2001,16:00,0.18500,0.18800,0.17950,0.18300,3257,25355
09/04/2001,16:00,0.18150,0.18150,0.17130,0.17350,7262,23500
09/05/2001,16:00,0.17220,0.17740,0.16950,0.17370,2975,23658
09/06/2001,16:00,0.17370,0.17600,0.17130,0.17560,1954,23504
09/07/2001,16:00,0.17550,0.17680,0.17030,0.17250,4304,22765
09/10/2001,16:00,0.17190,0.17230,0.16480,0.16650,1130,16843
09/11/2001,16:00,0.16620,0.17030,0.16570,0.17020,1130,16843
09/13/2001,16:00,0.16900,0.17110,0.16900,0.17050,4302,14027
09/14/2001,16:00,0.17130,0.17240,0.16840,0.16920,6356,18318
09/17/2001,16:00,0.16930,0.16960,0.15120,0.15590,14428,21418
09/18/2001,16:00,0.15520,0.15620,0.14690,0.14980,7739,22069
09/19/2001,16:00,0.15040,0.15110,0.14270,0.14670,4321,21740
09/20/2001,16:00,0.14700,0.14820,0.14350,0.14600,2874,21847
09/21/2001,16:00,0.14500,0.14640,0.13520,0.13680,2985,22630
09/24/2001,16:00,0.13810,0.14660,0.13530,0.14440,1729,22446
09/25/2001,16:00,0.14480,0.14780,0.14380,0.14650,1383,22459
09/26/2001,16:00,0.14490,0.15050,0.14220,0.14390,2057,22493
09/27/2001,16:00,0.14410,0.14430,0.13800,0.14050,1042,22493
09/28/2001,16:00,0.14030,0.14980,0.13860,0.14450,3854,23190
10/01/2001,16:00,0.14630,0.14930,0.14380,0.14810,2417,23670
10/02/2001,16:00,0.14850,0.14900,0.14510,0.14860,1399,23606
10/03/2001,16:00,0.14760,0.15230,0.14690,0.14880,2639,23690
10/04/2001,16:00,0.14790,0.15360,0.14790,0.15170,1946,23734
10/05/2001,16:00,0.15230,0.16090,0.15230,0.16070,2091,23300
10/08/2001,16:00,0.16050,0.16110,0.15810,0.16020,461,23278
10/09/2001,16:00,0.16100,0.16100,0.15240,0.15360,3086,23537
10/10/2001,16:00,0.15350,0.15650,0.15230,0.15490,824,23492
10/11/2001,16:00,0.15550,0.15550,0.15000,0.15500,2328,24517
10/12/2001,16:00,0.15470,0.15900,0.15160,0.15710,2607,23921
10/15/2001,16:00,0.16600,0.17030,0.15760,0.16930,5160,22158
10/16/2001,16:00,0.16900,0.16900,0.16470,0.16480,3050,21589
10/17/2001,16:00,0.16500,0.16920,0.16350,0.16350,1912,21789
10/18/2001,16:00,0.16320,0.16480,0.15900,0.16050,2382,21842
10/19/2001,16:00,0.16020,0.16250,0.15890,0.16190,953,21598
10/22/2001,16:00,0.16200,0.16390,0.15980,0.16380,746,21520
10/23/2001,16:00,0.16330,0.16400,0.15990,0.16090,1285,21222
10/24/2001,16:00,0.16090,0.16220,0.15990,0.16220,917,21088
10/25/2001,16:00,0.16170,0.16250,0.15680,0.15730,3830,21312
10/26/2001,16:00,0.15710,0.15750,0.15470,0.15570,1262,21208
10/29/2001,16:00,0.15450,0.15980,0.15390,0.15770,776,21201
10/30/2001,16:00,0.15900,0.16280,0.15750,0.15800,1124,21337
10/31/2001,16:00,0.15800,0.15970,0.15600,0.15660,1287,21263
11/01/2001,16:00,0.15650,0.16660,0.15640,0.16280,2765,21217
11/02/2001,16:00,0.16300,0.16470,0.15980,0.16250,1709,21637
11/05/2001,16:00,0.16070,0.16290,0.16000,0.16280,502,21581
11/06/2001,16:00,0.16250,0.16870,0.16230,0.16700,3182,21526
11/07/2001,16:00,0.16780,0.17060,0.16690,0.16900,1549,21498
11/08/2001,16:00,0.17000,0.17150,0.16750,0.16900,1575,21601
11/09/2001,16:00,0.16950,0.16960,0.16470,0.16800,863,21731
11/12/2001,16:00,0.17150,0.17550,0.17080,0.17240,2616,21907
11/13/2001,16:00,0.17420,0.17630,0.16940,0.17440,6966,23930
11/14/2001,16:00,0.17470,0.17770,0.17280,0.17370,3609,23939
11/15/2001,16:00,0.17370,0.17490,0.17130,0.17250,1790,23836
11/16/2001,16:00,0.17190,0.17870,0.17020,0.17630,3888,24277
11/19/2001,16:00,0.17740,0.17740,0.17400,0.17590,3015,24062
11/20/2001,16:00,0.17550,0.17670,0.17210,0.17430,2122,23591
11/21/2001,16:00,0.17460,0.17490,0.16980,0.17060,1782,22790
11/23/2001,16:00,0.17060,0.17260,0.16930,0.17130,1470,23038
11/26/2001,16:00,0.17180,0.17410,0.17100,0.17270,1373,22709
11/27/2001,16:00,0.17210,0.17790,0.17210,0.17710,2010,22910
11/28/2001,16:00,0.17710,0.17820,0.17410,0.17590,1650,23001
11/29/2001,16:00,0.17570,0.17610,0.17190,0.17220,1500,22713
11/30/2001,16:00,0.17370,0.17730,0.17250,0.17670,3445,23060
12/03/2001,16:00,0.17540,0.17650,0.17110,0.17140,3057,22362
12/04/2001,16:00,0.17160,0.17210,0.16780,0.16950,4312,20923
12/05/2001,16:00,0.16920,0.17270,0.16730,0.17270,3166,20205
12/06/2001,16:00,0.17200,0.17440,0.17110,0.17370,2887,20380
12/07/2001,16:00,0.17360,0.17390,0.16890,0.16970,4512,19503
12/10/2001,16:00,0.16950,0.17160,0.16900,0.16960,6704,15981
12/11/2001,16:00,0.16900,0.17140,0.16870,0.17040,4753,12032
12/12/2001,16:00,0.16850,0.17300,0.16810,0.17180,6801,15205
12/13/2001,16:00,0.17430,0.17570,0.17220,0.17390,3941,16268
12/14/2001,16:00,0.17330,0.17470,0.17200,0.17420,2706,16509
12/17/2001,16:00,0.17420,0.17430,0.17200,0.17200,1504,16064
12/18/2001,16:00,0.17290,0.17340,0.16950,0.17000,2761,16368
12/19/2001,16:00,0.17010,0.17050,0.16550,0.16610,6238,17619
12/20/2001,16:00,0.16600,0.16700,0.15940,0.16010,3524,17702
12/21/2001,16:00,0.15990,0.16380,0.15990,0.16310,1676,17395
12/24/2001,16:00,0.16350,0.16480,0.16140,0.16370,1883,17844
12/26/2001,16:00,0.16340,0.16410,0.16180,0.16180,829,17662
12/27/2001,16:00,0.16190,0.16350,0.16150,0.16250,1531,17788
12/28/2001,16:00,0.16260,0.16720,0.16120,0.16590,2225,17936
12/31/2001,16:00,0.16580,0.16740,0.16500,0.16530,652,17810
01/02/2002,16:00,0.16790,0.17140,0.16770,0.17000,3420,18030
01/03/2002,16:00,0.17100,0.17230,0.16930,0.17040,2135,17676
01/04/2002,16:00,0.17170,0.17700,0.16980,0.17650,8288,19364
01/07/2002,16:00,0.17670,0.17670,0.17320,0.17370,3177,19542
01/08/2002,16:00,0.17490,0.18000,0.17310,0.17980,9167,22233
01/09/2002,16:00,0.17930,0.18220,0.17780,0.17970,5789,23370
01/10/2002,16:00,0.18020,0.18270,0.17750,0.17900,4083,23211
01/11/2002,16:00,0.17880,0.17900,0.17590,0.17680,1432,22534
01/14/2002,16:00,0.17530,0.17530,0.17210,0.17440,2382,22191
01/15/2002,16:00,0.17370,0.17540,0.17290,0.17300,1912,22214
01/16/2002,16:00,0.17310,0.17340,0.16950,0.17010,1538,22194
01/17/2002,16:00,0.17030,0.17120,0.16760,0.17010,3488,21081
01/18/2002,16:00,0.17030,0.17170,0.16950,0.17050,1815,21723
01/22/2002,16:00,0.17090,0.17620,0.17050,0.17550,1621,22101
01/23/2002,16:00,0.17530,0.17760,0.17360,0.17400,2112,21811
01/24/2002,16:00,0.17460,0.17640,0.17230,0.17600,1025,22180
01/25/2002,16:00,0.17630,0.17650,0.17090,0.17270,1925,22494
01/28/2002,16:00,0.17250,0.17370,0.17000,0.17240,1546,22773
01/29/2002,16:00,0.17070,0.17260,0.16450,0.16560,8906,22788
01/30/2002,16:00,0.16510,0.16640,0.16160,0.16290,4215,22340
01/31/2002,16:00,0.16350,0.16590,0.16260,0.16440,4472,22119
02/01/2002,16:00,0.16420,0.16690,0.16340,0.16460,1867,21597
02/04/2002,16:00,0.16550,0.16800,0.16530,0.16720,1778,21643
02/05/2002,16:00,0.16730,0.16880,0.16500,0.16550,1720,21547
02/06/2002,16:00,0.16570,0.16670,0.16360,0.16510,1802,21427
02/07/2002,16:00,0.16510,0.16590,0.16240,0.16560,1766,21253
02/08/2002,16:00,0.16590,0.16880,0.16590,0.16710,1931,20988
02/11/2002,16:00,0.16890,0.17040,0.16810,0.16900,1347,21194
02/12/2002,16:00,0.16910,0.16930,0.16430,0.16620,3239,23156
02/13/2002,16:00,0.16600,0.16690,0.16390,0.16610,493,23156
02/14/2002,16:00,0.16670,0.17490,0.16640,0.17290,4214,24296
02/15/2002,16:00,0.17280,0.17560,0.17110,0.17390,4998,23933
02/19/2002,16:00,0.17490,0.17630,0.17240,0.17610,4011,23042
02/20/2002,16:00,0.17560,0.17570,0.17300,0.17450,2227,21790
02/21/2002,16:00,0.17430,0.17460,0.17190,0.17360,1429,20948
02/22/2002,16:00,0.17400,0.17410,0.16900,0.17040,2622,20913
02/25/2002,16:00,0.17040,0.17120,0.16890,0.17090,2437,20272
02/26/2002,16:00,0.17100,0.17220,0.16990,0.17080,1151,20956
02/27/2002,16:00,0.17000,0.17350,0.16960,0.17280,2152,21219
02/28/2002,16:00,0.17390,0.17500,0.17270,0.17500,2537,21613
03/01/2002,16:00,0.17540,0.17750,0.17430,0.17690,2645,22053
03/04/2002,16:00,0.17790,0.17890,0.17650,0.17730,4257,22215
03/05/2002,16:00,0.17750,0.17860,0.17620,0.17800,2454,23041
03/06/2002,16:00,0.17760,0.18070,0.17650,0.18060,3865,23068
03/07/2002,16:00,0.18030,0.18400,0.17940,0.18310,6423,12810
03/08/2002,16:00,0.17990,0.17990,0.17590,0.17770,8623,20692
03/11/2002,16:00,0.17850,0.17990,0.17730,0.17910,8705,26402
03/12/2002,16:00,0.17930,0.17950,0.17690,0.17840,6617,30949
03/13/2002,16:00,0.17790,0.17860,0.17630,0.17770,1916,31222
03/14/2002,16:00,0.17790,0.18190,0.17740,0.18120,3013,32817
03/15/2002,16:00,0.18110,0.18430,0.18040,0.18340,2533,33552
03/18/2002,16:00,0.18380,0.18420,0.18050,0.18270,2464,33338
03/19/2002,16:00,0.18230,0.18290,0.18050,0.18130,836,32975
03/20/2002,16:00,0.18120,0.18920,0.17940,0.18820,6275,35708
03/21/2002,16:00,0.18820,0.19090,0.18720,0.18850,6189,38758
03/22/2002,16:00,0.18790,0.19170,0.18730,0.18860,3859,38999
03/25/2002,16:00,0.18950,0.19070,0.18740,0.18780,3660,40218
03/26/2002,16:00,0.18760,0.18790,0.18430,0.18560,1911,40494
03/27/2002,16:00,0.18500,0.18650,0.18490,0.18560,1751,41443
03/28/2002,16:00,0.18620,0.19290,0.18620,0.19180,3467,43060
04/01/2002,16:00,0.19170,0.19370,0.18990,0.19160,5404,44127
04/02/2002,16:00,0.19230,0.19380,0.18960,0.19280,3396,43260
04/03/2002,16:00,0.19240,0.19340,0.18710,0.19060,4470,43932
04/04/2002,16:00,0.19010,0.19090,0.18820,0.18940,2694,44599
04/05/2002,16:00,0.18970,0.19090,0.18740,0.18860,3258,44097
04/08/2002,16:00,0.18800,0.18870,0.18430,0.18580,11667,49191
04/09/2002,16:00,0.18630,0.18840,0.18590,0.18690,7072,53793
04/10/2002,16:00,0.18720,0.19000,0.18710,0.18960,1983,53804
04/11/2002,16:00,0.18990,0.19440,0.18930,0.19370,4034,53619
04/12/2002,16:00,0.19330,0.19520,0.19220,0.19320,1324,53501
04/15/2002,16:00,0.19220,0.19260,0.18920,0.19060,2029,53582
04/16/2002,16:00,0.19000,0.19220,0.18910,0.19150,8247,48500
04/17/2002,16:00,0.19200,0.19680,0.19170,0.19620,1992,48107
04/18/2002,16:00,0.19690,0.19820,0.19590,0.19810,2806,49012
04/19/2002,16:00,0.19790,0.19990,0.19740,0.19850,3074,48947
04/22/2002,16:00,0.19710,0.20010,0.19710,0.19970,2620,49996
04/23/2002,16:00,0.19990,0.20120,0.19670,0.19760,2154,49767
04/24/2002,16:00,0.19690,0.20240,0.19640,0.20170,3078,50190
04/25/2002,16:00,0.20240,0.20490,0.20170,0.20210,2347,50818
04/26/2002,16:00,0.20220,0.20380,0.20160,0.20290,2475,50281
04/29/2002,16:00,0.20350,0.20380,0.19690,0.19780,3375,49088
04/30/2002,16:00,0.19790,0.19960,0.19550,0.19720,4621,47931
05/01/2002,16:00,0.19750,0.19920,0.19470,0.19900,3534,48098
05/02/2002,16:00,0.19920,0.19980,0.19440,0.19540,3860,47979
05/03/2002,16:00,0.19540,0.19910,0.19350,0.19880,2758,48219
05/06/2002,16:00,0.19890,0.19950,0.19680,0.19860,2299,47919
05/07/2002,16:00,0.19960,0.20230,0.19780,0.19920,3397,47109
05/09/2002,16:00,0.19880,0.20410,0.19840,0.20350,5125,47567
05/10/2002,16:00,0.20310,0.20470,0.20190,0.20460,2989,47722
05/13/2002,16:00,0.20370,0.20750,0.20340,0.20690,4199,45612
05/14/2002,16:00,0.20650,0.20730,0.20440,0.20680,4646,44700
05/15/2002,16:00,0.20740,0.20900,0.20420,0.20890,4240,45011
05/16/2002,16:00,0.20800,0.21000,0.20750,0.20810,3078,43224
05/17/2002,16:00,0.20840,0.21270,0.20720,0.21190,5136,40992
05/20/2002,16:00,0.21340,0.21590,0.21040,0.21560,1531,40931
05/21/2002,16:00,0.21560,0.21720,0.21340,0.21680,2045,40919
05/22/2002,16:00,0.21640,0.22090,0.21460,0.21900,2245,40644
05/23/2002,16:00,0.21850,0.21860,0.21430,0.21660,2119,40349
05/24/2002,16:00,0.21690,0.21770,0.21550,0.21550,2804,39391
05/28/2002,16:00,0.21640,0.22290,0.21620,0.22200,5811,41374
05/29/2002,16:00,0.22180,0.22580,0.22120,0.22310,2484,41409
05/30/2002,16:00,0.22350,0.22630,0.22300,0.22450,1860,41051
05/31/2002,16:00,0.22430,0.22990,0.22260,0.22740,5099,41777
06/03/2002,16:00,0.22790,0.23220,0.22590,0.23130,4507,42444
06/04/2002,16:00,0.23130,0.23780,0.23110,0.23280,8269,40367
06/05/2002,16:00,0.23330,0.23500,0.23000,0.23380,5107,38785
