"Date","Time","Open","High","Low","Close","Vol","OI"
09/08/2000,16:00,1.2637,1.2637,1.2637,1.2637,0,0
09/11/2000,16:00,1.2515,1.2515,1.2515,1.2515,0,0
09/12/2000,16:00,1.2515,1.2515,1.2497,1.2497,0,0
09/13/2000,16:00,1.2503,1.2503,1.2503,1.2503,0,0
09/14/2000,16:00,1.2503,1.2503,1.2477,1.2477,0,0
09/15/2000,16:00,1.2477,1.2477,1.2403,1.2403,0,0
09/18/2000,16:00,1.2469,1.2469,1.2469,1.2469,0,0
09/19/2000,16:00,1.2469,1.2511,1.2469,1.2511,0,0
09/20/2000,16:00,1.2507,1.2591,1.2507,1.2507,0,0
09/21/2000,16:00,1.2773,1.2773,1.2773,1.2773,0,0
09/22/2000,16:00,1.2999,1.3131,1.2999,1.2999,0,0
09/25/2000,16:00,1.2915,1.2915,1.2915,1.2915,0,0
09/26/2000,16:00,1.3035,1.3035,1.3035,1.3035,0,0
09/27/2000,16:00,1.3047,1.3047,1.2961,1.3047,0,0
09/28/2000,16:00,1.3049,1.3051,1.3049,1.3049,0,0
09/29/2000,16:00,1.3167,1.3231,1.3167,1.3167,0,0
10/02/2000,16:00,1.3103,1.3103,1.3101,1.3103,0,0
10/03/2000,16:00,1.2989,1.2989,1.2989,1.2989,0,0
10/04/2000,16:00,1.3011,1.3051,1.3011,1.3011,0,0
10/05/2000,16:00,1.2921,1.2961,1.2865,1.2865,19,2
10/06/2000,16:00,1.2845,1.2845,1.2831,1.2845,0,2
10/09/2000,16:00,1.2845,1.2845,1.2845,1.2845,0,2
10/10/2000,16:00,1.2929,1.2951,1.2929,1.2929,0,2
10/11/2000,16:00,1.3005,1.3071,1.3005,1.3005,0,2
10/12/2000,16:00,1.3103,1.3131,1.3103,1.3103,0,2
10/13/2000,16:00,1.2917,1.2917,1.2917,1.2917,0,2
10/16/2000,16:00,1.2869,1.2931,1.2811,1.2869,0,2
10/17/2000,16:00,1.2889,1.2889,1.2761,1.2889,0,2
10/18/2000,16:00,1.2825,1.3011,1.2791,1.2825,0,2
10/19/2000,16:00,1.2847,1.2861,1.2801,1.2847,0,2
10/20/2000,16:00,1.2895,1.2911,1.2811,1.2895,0,2
10/23/2000,16:00,1.2923,1.2951,1.2923,1.2923,0,2
10/24/2000,16:00,1.2895,1.2895,1.2881,1.2895,0,2
10/25/2000,16:00,1.2747,1.2747,1.2691,1.2747,0,2
10/26/2000,16:00,1.2737,1.2737,1.2611,1.2737,0,2
10/27/2000,16:00,1.2931,1.2931,1.2931,1.2931,0,2
10/30/2000,16:00,1.2915,1.2981,1.2911,1.2915,0,2
10/31/2000,16:00,1.2885,1.2941,1.2885,1.2885,0,2
11/01/2000,16:00,1.2887,1.2911,1.2831,1.2887,0,2
11/02/2000,16:00,1.2857,1.2911,1.2831,1.2857,0,2
11/03/2000,16:00,1.2897,1.2901,1.2831,1.2897,0,2
11/06/2000,16:00,1.2699,1.2699,1.2641,1.2699,0,2
11/07/2000,16:00,1.2753,1.2753,1.2661,1.2753,0,2
11/08/2000,16:00,1.2635,1.2635,1.2621,1.2635,0,2
11/09/2000,16:00,1.2727,1.2727,1.2571,1.2727,0,2
11/10/2000,16:00,1.2681,1.2681,1.2681,1.2681,0,2
11/13/2000,16:00,1.2809,1.2809,1.2809,1.2809,0,2
11/14/2000,16:00,1.2711,1.2711,1.2691,1.2711,0,2
11/15/2000,16:00,1.2681,1.2681,1.2671,1.2681,0,2
11/16/2000,16:00,1.2651,1.2651,1.2651,1.2651,0,2
11/17/2000,16:00,1.2645,1.2671,1.2645,1.2645,0,2
11/20/2000,16:00,1.2653,1.2681,1.2653,1.2653,0,2
11/21/2000,16:00,1.2597,1.2597,1.2581,1.2597,0,2
11/22/2000,16:00,1.2527,1.2527,1.2491,1.2527,0,2
11/24/2000,16:00,1.2421,1.2421,1.2411,1.2421,0,2
11/27/2000,16:00,1.2605,1.2611,1.2605,1.2605,0,2
11/28/2000,16:00,1.2603,1.2631,1.2601,1.2603,0,2
11/29/2000,16:00,1.2655,1.2681,1.2655,1.2655,0,2
11/30/2000,16:00,1.2669,1.2691,1.2561,1.2669,0,2
12/01/2000,16:00,1.2799,1.2831,1.2799,1.2799,0,2
12/04/2000,16:00,1.2947,1.2981,1.2947,1.2947,0,2
12/05/2000,16:00,1.2759,1.2759,1.2759,1.2759,0,2
12/06/2000,16:00,1.2837,1.2837,1.2837,1.2837,0,2
12/07/2000,16:00,1.2839,1.2871,1.2831,1.2839,0,2
12/08/2000,16:00,1.2863,1.2911,1.2863,1.2863,0,2
12/11/2000,16:00,1.2983,1.2983,1.2983,1.2983,0,2
12/12/2000,16:00,1.2907,1.2907,1.2871,1.2907,0,2
12/13/2000,16:00,1.2925,1.2925,1.2925,1.2925,0,2
12/14/2000,16:00,1.3083,1.3097,1.3083,1.3083,0,2
12/15/2000,16:00,1.3121,1.3121,1.3121,1.3121,0,2
12/18/2000,16:00,1.3101,1.3101,1.3017,1.3101,0,2
12/19/2000,16:00,1.3041,1.3041,1.3041,1.3041,0,2
12/20/2000,16:00,1.3143,1.3143,1.3143,1.3143,0,2
12/21/2000,16:00,1.3091,1.3091,1.3091,1.3091,0,2
12/22/2000,16:00,1.3137,1.3137,1.3137,1.3137,0,2
12/26/2000,16:00,1.3209,1.3209,1.3209,1.3209,0,2
12/27/2000,16:00,1.3303,1.3303,1.3303,1.3303,0,2
12/28/2000,16:00,1.3283,1.3283,1.3283,1.3283,0,2
12/29/2000,16:00,1.3289,1.3289,1.3289,1.3289,0,2
01/02/2001,16:00,1.3319,1.3347,1.3319,1.3319,0,2
01/03/2001,16:00,1.3241,1.3407,1.3241,1.3241,0,2
01/04/2001,16:00,1.3315,1.3315,1.3315,1.3315,0,2
01/05/2001,16:00,1.3317,1.3337,1.3317,1.3317,0,2
01/08/2001,16:00,1.3265,1.3265,1.3247,1.3265,0,2
01/09/2001,16:00,1.3197,1.3197,1.3157,1.3197,0,2
01/10/2001,16:00,1.3187,1.3207,1.3187,1.3187,0,2
01/11/2001,16:00,1.3237,1.3277,1.3237,1.3237,0,2
01/12/2001,16:00,1.3073,1.3073,1.3057,1.3073,0,2
01/16/2001,16:00,1.2991,1.2991,1.2967,1.2991,0,2
01/17/2001,16:00,1.3027,1.3027,1.3027,1.3027,0,2
01/18/2001,16:00,1.3017,1.3017,1.3017,1.3017,0,2
01/19/2001,16:00,1.2927,1.2927,1.2927,1.2927,0,2
