"Date","Time","Open","High","Low","Close","Vol","OI"
05/14/2001,16:00,0.61490,0.61590,0.61450,0.61510,1973,58058
05/15/2001,16:00,0.61700,0.61710,0.61290,0.61690,1700,57985
05/16/2001,16:00,0.62000,0.62110,0.61990,0.61990,2685,57456
05/17/2001,16:00,0.62160,0.62170,0.62130,0.62130,1108,55906
05/18/2001,16:00,0.62160,0.62400,0.62020,0.62230,1411,55906
05/21/2001,16:00,0.62290,0.62350,0.62060,0.62070,2332,55365
05/22/2001,16:00,0.62080,0.62130,0.61760,0.61960,615,56661
05/23/2001,16:00,0.61940,0.61970,0.61480,0.61520,2483,58751
05/24/2001,16:00,0.61500,0.61680,0.61500,0.61680,1814,57477
05/28/2001,16:00,0.61680,0.61930,0.61580,0.61620,324,58099
05/29/2001,16:00,0.61740,0.62180,0.61600,0.62050,1924,57156
05/30/2001,16:00,0.61760,0.61820,0.61760,0.61800,2585,58507
05/31/2001,16:00,0.61750,0.62110,0.61480,0.62060,3313,54048
06/04/2001,16:00,0.62140,0.62410,0.62100,0.62120,961,53429
06/05/2001,16:00,0.62100,0.62440,0.62040,0.62400,2376,53868
06/06/2001,16:00,0.62380,0.62730,0.62300,0.62700,1886,53050
06/07/2001,16:00,0.62640,0.62860,0.62600,0.62760,1362,53650
06/08/2001,16:00,0.62760,0.62930,0.62700,0.62860,1091,45110
06/11/2001,16:00,0.62870,0.63020,0.62810,0.62840,273,37079
06/12/2001,16:00,0.62850,0.62850,0.62460,0.62650,490,33782
06/13/2001,16:00,0.62750,0.63090,0.62690,0.63080,182,28416
06/14/2001,16:00,0.62990,0.63140,0.62790,0.62930,220,24370
06/15/2001,16:00,0.62890,0.63020,0.62560,0.62760,30,19461
06/18/2001,16:00,0.62780,0.62800,0.62200,0.62200,29,18354
06/19/2001,16:00,0.62360,0.62390,0.62360,0.62390,10,17425
06/20/2001,16:00,0.62390,0.62390,0.62390,0.62390,0,49311
06/22/2001,16:00,0.62730,0.62790,0.62360,0.62580,1825,48615
06/25/2001,16:00,0.62730,0.63030,0.62710,0.62920,1725,48287
06/26/2001,16:00,0.62920,0.63110,0.62820,0.62960,1125,49095
06/27/2001,16:00,0.62950,0.63240,0.62870,0.63000,2246,49485
06/28/2001,16:00,0.62950,0.63100,0.62610,0.62790,1624,49123
06/29/2001,16:00,0.62710,0.63170,0.62630,0.63140,2366,51253
07/02/2001,16:00,0.63080,0.63140,0.62980,0.63080,1459,50134
07/03/2001,16:00,0.63100,0.63410,0.63050,0.63230,1822,49017
07/05/2001,16:00,0.63240,0.63390,0.63090,0.63150,1259,48865
07/06/2001,16:00,0.63140,0.63190,0.62700,0.62770,2275,49426
07/09/2001,16:00,0.62650,0.62970,0.62650,0.62760,1440,48324
07/10/2001,16:00,0.62850,0.62920,0.62700,0.62860,615,48618
07/11/2001,16:00,0.62880,0.62940,0.62450,0.62660,1982,48417
07/12/2001,16:00,0.62620,0.62700,0.62460,0.62500,780,48739
07/13/2001,16:00,0.62510,0.62510,0.61920,0.62040,4286,53072
07/16/2001,16:00,0.62150,0.62170,0.61890,0.62100,3329,50353
07/17/2001,16:00,0.62140,0.62230,0.61950,0.62010,1602,50209
07/18/2001,16:00,0.62090,0.62320,0.61920,0.62140,3171,50364
07/19/2001,16:00,0.62140,0.62190,0.61840,0.61990,2792,49016
07/20/2001,16:00,0.61940,0.62000,0.61700,0.61910,1751,48700
07/23/2001,16:00,0.61910,0.61930,0.61730,0.61810,1331,52559
07/24/2001,16:00,0.61830,0.62120,0.61810,0.62030,1080,52173
07/25/2001,16:00,0.62010,0.62210,0.62000,0.62180,1129,51449
07/26/2001,16:00,0.62180,0.62390,0.62070,0.62310,3363,50921
07/27/2001,16:00,0.62310,0.62490,0.62150,0.62340,2320,51525
07/30/2001,16:00,0.62340,0.62510,0.62290,0.62470,2579,52524
07/31/2001,16:00,0.62490,0.62670,0.62280,0.62310,2388,46473
08/01/2001,16:00,0.62290,0.62330,0.62110,0.62210,3228,46727
08/02/2001,16:00,0.62240,0.62310,0.61950,0.62280,3636,46336
08/03/2001,16:00,0.62250,0.62490,0.62160,0.62460,9327,46182
08/06/2001,16:00,0.62460,0.62750,0.62420,0.62680,10008,46508
08/07/2001,16:00,0.62670,0.62670,0.62220,0.62220,13255,47684
08/08/2001,16:00,0.62230,0.62440,0.62180,0.62260,8148,45447
08/09/2001,16:00,0.62270,0.62330,0.61990,0.62050,8700,46113
08/10/2001,16:00,0.62060,0.62090,0.61880,0.61970,7785,46001
08/13/2001,16:00,0.62050,0.62180,0.62010,0.62150,3159,45886
08/14/2001,16:00,0.62090,0.62220,0.61970,0.62200,8568,46213
08/15/2001,16:00,0.62190,0.62700,0.62150,0.62600,22344,47942
08/16/2001,16:00,0.62580,0.62670,0.62090,0.62140,13493,47476
08/17/2001,16:00,0.62170,0.62270,0.61740,0.61900,16648,48350
08/20/2001,16:00,0.61950,0.61950,0.61740,0.61890,10024,47136
08/21/2001,16:00,0.61830,0.61900,0.61600,0.61700,10464,50551
08/22/2001,16:00,0.61720,0.62030,0.61650,0.61980,7546,50532
08/23/2001,16:00,0.62020,0.62070,0.61900,0.62060,4259,51200
08/24/2001,16:00,0.61990,0.62180,0.61960,0.62070,6460,50986
08/27/2001,16:00,0.62070,0.62090,0.61880,0.62000,5329,51291
08/28/2001,16:00,0.62060,0.62120,0.61890,0.62070,2549,51291
08/29/2001,16:00,0.62060,0.62140,0.61770,0.61850,12140,50730
08/30/2001,16:00,0.61830,0.61900,0.61750,0.61870,5176,49621
08/31/2001,16:00,0.61880,0.61990,0.61610,0.61640,12531,52531
09/04/2001,16:00,0.61600,0.61820,0.61190,0.61270,16058,54253
09/05/2001,16:00,0.61250,0.61410,0.61080,0.61390,10305,53711
09/06/2001,16:00,0.61350,0.61440,0.61220,0.61350,7737,52690
09/07/2001,16:00,0.61350,0.61370,0.60850,0.60990,15053,52963
09/10/2001,16:00,0.61010,0.61170,0.60860,0.61120,3810,45648
09/11/2001,16:00,0.61040,0.61280,0.60960,0.61020,3810,45648
09/13/2001,16:00,0.61190,0.61230,0.61000,0.61090,18018,31735
09/14/2001,16:00,0.61150,0.61210,0.60940,0.61100,17756,58031
09/17/2001,16:00,0.61050,0.61130,0.60790,0.60860,7487,60388
09/18/2001,16:00,0.60820,0.60880,0.60710,0.60750,6679,61727
09/19/2001,16:00,0.60720,0.60980,0.60660,0.60880,8980,62387
09/20/2001,16:00,0.60850,0.60960,0.60700,0.60780,8736,64315
09/21/2001,16:00,0.60780,0.61140,0.60760,0.60810,9288,64945
