"Date","Time","Open","High","Low","Close","Up","Down"
01/02/2007,17:00,129.82,130.39,129.25,129.72,14637,14420
01/03/2007,17:00,129.79,129.81,126.56,127.15,57711,69749
01/04/2007,17:00,127.19,127.42,124.32,124.34,81142,88317
01/05/2007,17:00,124.25,125.21,123.74,125.08,63541,62257
01/08/2007,17:00,125.08,126.56,123.96,124.94,73882,72415
01/09/2007,17:00,124.96,125.03,122.72,124.65,74050,75810
01/10/2007,17:00,124.59,124.65,122.30,122.35,57445,64566
01/11/2007,17:00,122.43,123.57,120.64,120.79,73522,79847
01/12/2007,17:00,120.91,121.95,120.40,121.81,68526,67868
01/15/2007,17:00,121.78,122.39,121.31,121.64,3466,4968
01/16/2007,17:00,121.63,122.02,119.37,120.07,53133,56737
01/17/2007,17:00,120.04,121.19,119.12,121.06,44898,44606
01/18/2007,17:00,121.24,121.53,117.91,117.98,21102,21959
01/19/2007,17:00,119.30,121.01,118.99,120.95,47256,41880
01/22/2007,17:00,120.99,122.16,119.58,120.20,77399,78234
01/23/2007,17:00,120.15,122.64,119.92,122.43,70687,63938
01/24/2007,17:00,122.48,122.95,121.17,122.89,73970,74690
01/25/2007,17:00,122.90,123.38,121.62,121.81,60836,67962
01/26/2007,17:00,121.84,123.09,121.71,123.08,51463,47563
01/29/2007,17:00,123.14,123.47,121.36,121.37,55029,69303
01/30/2007,17:00,121.38,124.54,121.33,124.35,95661,78274
01/31/2007,17:00,124.41,125.71,123.27,125.51,86471,84244
02/01/2007,17:00,125.40,126.37,124.62,124.94,87474,89125
02/02/2007,17:00,124.90,126.76,124.62,126.65,56602,51386
02/05/2007,17:00,126.76,127.46,125.97,126.35,64671,69533
02/06/2007,17:00,126.41,127.48,126.01,126.61,62941,69886
02/07/2007,17:00,126.63,127.36,124.76,125.25,73938,82680
02/08/2007,17:00,125.24,127.38,124.81,127.23,78479,70408
02/09/2007,17:00,127.29,128.27,126.81,127.28,74948,72701
02/12/2007,17:00,127.19,127.27,124.89,125.14,58066,68291
02/13/2007,17:00,125.12,127.11,124.76,126.54,55444,52396
02/14/2007,17:00,126.54,126.77,125.02,125.54,53104,58108
02/15/2007,17:00,125.52,126.02,124.13,125.51,46768,49688
02/16/2007,17:00,125.55,126.93,125.10,126.61,18385,18452
02/19/2007,17:00,126.64,126.90,126.09,126.32,3771,4895
02/20/2007,17:00,126.28,126.50,124.82,125.87,51470,49947
02/21/2007,17:00,125.93,127.67,125.11,127.15,81682,76292
02/22/2007,17:00,127.17,128.29,126.65,127.84,72701,69738
02/23/2007,17:00,127.76,128.84,127.57,127.92,65448,67235
02/26/2007,17:00,127.92,128.78,127.72,128.51,60267,63983
02/27/2007,17:00,128.48,129.28,127.10,127.24,88279,95047
02/28/2007,17:00,127.32,129.09,126.96,128.80,74731,70596
03/01/2007,17:00,128.86,129.53,127.84,128.82,70560,74382
03/02/2007,17:00,128.88,129.44,128.20,128.34,42102,49329
03/05/2007,17:00,128.34,128.34,126.59,126.95,58212,65672
03/06/2007,17:00,126.93,127.84,126.69,127.77,51071,48529
03/07/2007,17:00,127.83,129.09,127.68,128.83,55074,54974
03/08/2007,17:00,128.78,129.34,128.24,128.79,48630,52611
03/09/2007,17:00,128.75,128.87,126.93,127.07,47911,57655
03/12/2007,17:00,127.00,127.00,125.65,125.97,52124,55485
03/13/2007,17:00,126.05,126.96,124.81,125.20,55205,63090
03/14/2007,17:00,125.21,125.47,124.34,125.29,51619,52989
03/15/2007,17:00,125.24,125.68,124.44,124.57,37747,43700
03/16/2007,17:00,124.57,125.33,123.21,124.14,30400,29136
03/19/2007,17:00,124.17,124.91,123.77,124.47,56273,57190
03/20/2007,17:00,124.44,124.75,123.72,124.30,62298,67350
03/21/2007,17:00,124.22,124.66,123.78,124.66,53648,53798
03/22/2007,17:00,124.59,126.62,124.52,126.56,74265,64343
03/23/2007,17:00,126.54,127.22,125.82,126.79,63551,63138
03/26/2007,17:00,126.91,127.87,126.91,127.45,58571,56964
03/27/2007,17:00,127.40,132.66,126.81,129.22,48610,43445
03/28/2007,17:00,128.84,129.53,127.93,128.63,72748,76792
03/29/2007,17:00,128.60,131.02,128.07,130.61,76719,69825
03/30/2007,17:00,130.62,131.35,130.08,130.27,62891,63842
04/02/2007,17:00,130.60,131.26,129.65,130.26,54434,56133
04/03/2007,17:00,130.37,130.51,128.53,129.13,55335,58696
04/04/2007,17:00,129.09,129.66,128.13,129.00,67090,69075
04/05/2007,17:00,128.96,129.51,128.17,128.53,44862,49337
04/09/2007,17:00,128.86,128.93,125.93,126.21,45867,53369
04/10/2007,17:00,126.29,126.85,125.92,126.43,43123,41344
04/11/2007,17:00,126.44,127.13,126.10,126.55,44803,44263
04/12/2007,17:00,126.49,128.53,126.43,128.47,46942,42681
04/13/2007,17:00,128.47,129.15,127.95,128.03,38328,39076
04/16/2007,17:00,127.98,128.78,127.12,128.18,46744,46752
04/17/2007,17:00,128.17,129.21,127.62,127.72,33405,33708
04/18/2007,17:00,127.82,127.98,126.97,127.51,11865,12684
04/19/2007,17:00,127.64,128.16,126.36,126.42,48926,51052
04/20/2007,17:00,126.42,127.59,125.95,127.52,47223,42778
04/23/2007,17:00,127.43,129.28,127.02,129.04,56881,51548
04/24/2007,17:00,129.07,129.62,127.43,127.93,74487,76849
04/25/2007,17:00,127.91,129.24,127.84,129.10,56288,53739
04/26/2007,17:00,129.00,129.72,128.14,128.63,57603,61374
04/27/2007,17:00,128.62,129.97,127.90,129.75,64452,58075
04/30/2007,17:00,129.68,129.97,128.85,128.92,58078,61029
05/01/2007,17:00,128.98,129.47,127.53,127.75,63098,69494
05/02/2007,17:00,127.75,127.99,126.37,126.80,62327,66848
05/03/2007,17:00,126.80,127.41,126.06,126.61,56436,55465
05/04/2007,17:00,126.54,126.76,124.88,125.12,56888,64428
05/07/2007,17:00,125.03,125.38,124.17,124.98,48138,51554
05/08/2007,17:00,124.84,125.90,124.53,125.52,61744,56988
05/09/2007,17:00,125.58,125.79,124.00,124.87,58847,61623
05/10/2007,17:00,124.89,125.81,124.70,125.15,54255,54583
05/11/2007,17:00,125.21,125.88,125.00,125.80,40074,38513
05/14/2007,17:00,125.74,126.39,125.46,125.82,41057,40712
05/15/2007,17:00,125.86,126.61,125.39,126.42,43983,39947
05/16/2007,17:00,126.47,126.62,125.22,125.93,44096,48098
05/17/2007,17:00,125.94,128.41,125.80,128.16,65070,50977
05/18/2007,17:00,128.24,128.96,127.89,128.10,30403,31318
05/21/2007,17:00,128.22,129.38,127.56,129.10,44357,45710
05/22/2007,17:00,129.08,129.28,127.68,127.85,52947,57191
05/23/2007,17:00,127.89,128.43,127.33,128.04,63033,61272
05/24/2007,17:00,127.95,128.43,126.10,126.62,47357,55133
