"Date","Time","Open","High","Low","Close","Up","Down"
01/01/2007,20:00,660.250,661.250,659.750,660.500,385,240
01/01/2007,21:00,660.500,660.500,659.250,660.500,180,116
01/01/2007,22:00,660.250,660.500,659.000,659.000,82,202
01/01/2007,23:00,659.500,659.750,659.000,659.500,19,19
01/02/2007,00:00,659.500,659.500,658.750,659.250,15,54
01/02/2007,01:00,658.750,659.250,658.750,659.250,13,69
01/02/2007,02:00,659.250,659.500,659.250,659.500,32,0
01/02/2007,03:00,659.250,659.250,659.000,659.250,3,23
01/02/2007,04:00,659.000,659.000,658.250,658.750,7,181
01/02/2007,05:00,659.000,659.500,659.000,659.250,19,3
01/02/2007,06:00,659.250,659.500,658.500,659.000,88,55
01/02/2007,20:00,658.000,658.250,657.250,657.750,100,374
01/02/2007,21:00,657.750,657.750,657.250,657.250,47,121
01/02/2007,22:00,657.250,657.750,655.750,655.750,63,828
01/02/2007,23:00,655.750,656.250,653.250,654.250,356,1041
01/03/2007,00:00,654.250,655.750,654.000,655.500,152,87
01/03/2007,01:00,655.500,655.750,654.750,654.750,50,15
01/03/2007,02:00,655.250,655.750,655.250,655.250,42,34
01/03/2007,03:00,655.250,655.500,654.750,655.500,7,9
01/03/2007,04:00,655.250,655.250,654.750,655.250,105,40
01/03/2007,05:00,654.750,654.750,654.000,654.500,77,26
01/03/2007,06:00,654.250,654.250,650.250,652.500,181,1120
01/03/2007,10:00,653.000,653.000,650.000,652.750,8619,7232
01/03/2007,11:00,652.750,653.000,650.250,650.750,4379,7406
01/03/2007,12:00,650.750,650.750,642.750,644.500,12041,16736
01/03/2007,13:00,644.500,644.750,643.000,643.250,3449,5319
01/03/2007,13:20,643.500,644.250,641.000,641.250,3278,4193
01/03/2007,20:00,638.750,638.750,637.000,638.500,825,1065
01/03/2007,21:00,638.500,638.500,638.000,638.250,114,411
01/03/2007,22:00,638.250,638.250,637.250,637.750,101,260
01/03/2007,23:00,637.750,638.000,637.500,637.500,111,68
01/04/2007,00:00,637.750,638.250,637.750,638.250,197,8
01/04/2007,01:00,638.000,638.250,637.750,637.750,4,86
01/04/2007,02:00,638.000,638.250,638.000,638.000,75,4
01/04/2007,03:00,638.250,638.500,637.500,638.250,84,32
01/04/2007,04:00,638.250,638.500,637.750,638.000,104,284
01/04/2007,05:00,638.000,638.000,636.250,637.000,150,736
01/04/2007,06:00,636.500,637.000,635.750,635.750,119,1083
01/04/2007,07:00,636.750,636.750,636.750,636.750,1,0
01/04/2007,10:00,636.250,638.500,635.750,637.750,8809,9234
01/04/2007,11:00,637.750,643.250,637.500,642.750,12409,9174
01/04/2007,12:00,642.500,643.000,640.000,641.500,3211,4534
01/04/2007,13:00,641.500,642.000,633.000,634.000,7893,10939
01/04/2007,13:20,634.000,635.000,631.250,633.250,5645,6937
01/04/2007,20:00,634.500,635.000,633.250,633.250,674,240
01/04/2007,21:00,633.250,635.000,633.250,635.000,264,138
01/04/2007,22:00,634.750,635.750,634.500,635.500,686,440
01/04/2007,23:00,635.250,636.250,634.750,635.250,237,235
01/05/2007,00:00,635.750,636.000,635.250,636.000,38,41
01/05/2007,01:00,636.000,636.250,635.250,635.500,133,62
01/05/2007,02:00,635.500,636.000,635.000,635.000,26,85
01/05/2007,03:00,635.250,635.750,635.000,635.250,29,11
01/05/2007,04:00,635.250,635.250,634.500,635.000,21,25
01/05/2007,05:00,634.750,635.000,634.500,635.000,92,102
