"Date","Time","Open","High","Low","Close","Vol","OI"
05/14/2001,16:00,1.01765,1.01785,1.01725,1.01775,1959,86639
05/15/2001,16:00,1.02125,1.02215,1.02125,1.02205,4654,86361
05/16/2001,16:00,1.02725,1.02725,1.02615,1.02655,5876,86694
05/17/2001,16:00,1.02635,1.02665,1.02625,1.02635,4397,86803
05/18/2001,16:00,1.02625,1.02635,1.01895,1.02305,3771,86803
05/21/2001,16:00,1.02355,1.02545,1.01745,1.02085,3978,86431
05/22/2001,16:00,1.02055,1.02105,1.00615,1.00845,6718,90039
05/23/2001,16:00,1.00875,1.00975,0.99905,1.00025,5166,89201
05/24/2001,16:00,0.99975,1.00095,0.99895,0.99995,4391,90173
05/28/2001,16:00,1.00055,1.00615,0.99735,1.00165,367,90668
05/29/2001,16:00,1.00345,1.00465,0.99645,0.99875,2774,89249
05/30/2001,16:00,1.00065,1.00105,1.00025,1.00045,2502,88862
05/31/2001,16:00,1.00035,1.00035,0.98805,0.98915,5129,91898
06/04/2001,16:00,0.99075,0.99735,0.98705,0.99015,3581,92092
06/05/2001,16:00,0.98945,0.99825,0.98615,0.99775,4821,88772
06/06/2001,16:00,0.99775,1.00055,0.98825,0.99175,5069,86203
06/07/2001,16:00,0.99155,0.99525,0.98945,0.99415,3671,85087
06/08/2001,16:00,0.99475,0.99575,0.98955,0.99485,4404,77743
06/11/2001,16:00,0.99355,0.99775,0.98485,0.98705,2601,75505
06/12/2001,16:00,0.98685,0.99745,0.98515,0.99675,3135,63636
06/13/2001,16:00,0.99365,0.99815,0.99215,0.99555,1051,55888
06/14/2001,16:00,0.99585,1.00445,0.99055,1.00255,1101,45710
06/15/2001,16:00,1.00155,1.00855,0.99955,1.00315,759,36871
06/18/2001,16:00,1.00655,1.00655,0.99905,0.99915,143,32013
06/19/2001,16:00,0.99915,0.99915,0.99915,0.99915,0,72026
06/22/2001,16:00,0.99465,0.99775,0.99125,0.99585,2422,72865
06/25/2001,16:00,0.99675,1.00255,0.99655,0.99975,3819,75223
06/26/2001,16:00,0.99915,1.00535,0.99905,1.00345,4071,74281
06/27/2001,16:00,1.00375,1.00635,0.99885,1.00065,3890,73180
06/28/2001,16:00,1.00035,1.00175,0.98385,0.98475,7530,77555
06/29/2001,16:00,0.98495,0.99025,0.98425,0.98975,3029,76144
07/02/2001,16:00,0.99015,0.99095,0.98465,0.98725,2481,76994
07/03/2001,16:00,0.98805,0.99065,0.98605,0.98825,3562,75652
07/05/2001,16:00,0.98825,0.98855,0.97585,0.97665,7830,80524
07/06/2001,16:00,0.97665,0.98825,0.97575,0.98765,6303,81606
07/09/2001,16:00,0.98775,0.99185,0.98485,0.99125,4822,80477
07/10/2001,16:00,0.99005,0.99765,0.98935,0.99515,8534,81379
07/11/2001,16:00,0.99535,1.00445,0.99365,0.99985,8685,80995
07/12/2001,16:00,0.99925,0.99925,0.99115,0.99405,5995,80926
07/13/2001,16:00,0.99405,0.99655,0.99125,0.99435,3576,80843
07/16/2001,16:00,0.99495,0.99985,0.99305,0.99315,4251,80702
07/17/2001,16:00,0.99315,1.00125,0.99015,0.99925,4808,81829
