"Date","Time","Open","High","Low","Close","Up","Down"
01/02/2007,16:00,1297.00,1303.25,1295.75,1302.75,17395,12192
01/03/2007,16:00,1300.75,1303.75,1280.25,1289.00,609837,606972
01/04/2007,16:00,1289.50,1295.25,1280.50,1292.25,523085,507270
01/05/2007,16:00,1292.00,1292.25,1278.00,1280.00,515277,539570
01/08/2007,16:00,1281.00,1288.25,1276.75,1286.50,556506,487339
01/09/2007,16:00,1286.50,1290.75,1277.75,1284.75,633669,631074
01/10/2007,16:00,1284.75,1290.25,1276.00,1289.75,585074,561249
01/11/2007,16:00,1289.50,1299.50,1284.50,1294.50,633200,591196
01/12/2007,16:00,1294.75,1305.25,1292.00,1305.00,447634,414343
01/15/2007,16:00,1304.75,1308.25,1304.00,1307.25,17994,15150
01/16/2007,16:00,1307.00,1307.25,1300.00,1301.75,352352,364425
01/17/2007,16:00,1301.75,1306.75,1299.00,1301.75,470925,460159
01/18/2007,16:00,1301.00,1306.00,1294.75,1295.50,528505,576712
01/19/2007,16:00,1296.00,1302.75,1295.00,1300.75,492499,480904
01/22/2007,16:00,1301.00,1303.00,1290.50,1295.50,506019,536504
01/23/2007,16:00,1295.25,1301.75,1291.50,1299.50,526815,524032
01/24/2007,16:00,1300.50,1310.75,1298.50,1310.75,562656,470620
01/25/2007,16:00,1310.50,1311.00,1291.25,1292.75,650676,767493
01/26/2007,16:00,1292.75,1296.75,1285.75,1291.25,611096,633550
01/29/2007,16:00,1291.75,1296.25,1287.00,1289.75,471084,471957
01/30/2007,16:00,1289.75,1298.25,1289.25,1298.00,460764,452557
01/31/2007,16:00,1297.75,1310.50,1292.75,1306.00,641884,624375
02/01/2007,16:00,1307.25,1315.50,1306.25,1314.50,572814,536209
02/02/2007,16:00,1314.75,1318.50,1312.50,1316.75,410280,401945
02/05/2007,16:00,1316.25,1318.00,1311.75,1317.25,318417,311331
02/06/2007,16:00,1317.50,1319.50,1311.25,1317.75,422611,401311
02/07/2007,16:00,1317.75,1321.50,1314.25,1318.75,466460,424481
02/08/2007,16:00,1319.25,1319.25,1310.50,1317.25,480544,485967
02/09/2007,16:00,1317.25,1320.75,1300.75,1306.50,687957,715752
