"Date","Time","Open","High","Low","Close","Up","Down"
01/02/2007,17:00,822.8,827.1,822.1,826.2,8775,9318
01/03/2007,17:00,826.6,830.9,810.6,813.0,54747,66205
01/04/2007,17:00,812.9,816.4,806.0,806.9,37648,35143
01/05/2007,17:00,807.2,811.5,786.7,792.1,68519,72556
01/08/2007,17:00,792.9,796.0,788.6,795.0,33585,31903
01/09/2007,17:00,794.6,801.0,790.6,798.6,36378,35664
01/10/2007,17:00,798.4,798.7,789.8,795.9,33617,33540
01/11/2007,17:00,795.6,800.6,793.5,795.5,32869,34417
01/12/2007,17:00,795.1,812.4,794.3,811.2,46650,43871
01/15/2007,17:00,810.5,812.6,809.3,810.8,6749,9113
01/16/2007,17:00,811.1,812.6,806.9,808.9,31199,33480
01/17/2007,17:00,809.0,818.4,804.2,816.2,44591,43678
01/18/2007,17:00,816.6,821.0,810.6,810.8,41209,44629
01/19/2007,17:00,811.1,820.6,810.6,820.1,32784,29449
01/22/2007,17:00,819.3,823.8,815.8,817.2,1324,2081
01/23/2007,17:00,816.1,831.9,815.8,830.8,3891,3106
01/24/2007,17:00,830.3,832.8,822.6,832.0,2865,4574
01/25/2007,17:00,831.8,838.6,828.7,829.2,6922,5527
01/26/2007,17:00,829.0,831.7,824.3,829.2,6085,5373
01/29/2007,17:00,829.3,831.3,824.0,826.4,9962,11539
01/30/2007,17:00,825.9,830.8,824.2,830.2,24137,22179
01/31/2007,17:00,829.2,838.1,825.0,835.8,64838,57241
02/01/2007,17:00,835.6,844.6,834.8,840.1,50625,49687
02/02/2007,17:00,839.8,842.7,825.5,830.2,62922,66733
02/05/2007,17:00,830.5,834.8,828.6,831.1,31022,29477
02/06/2007,17:00,830.5,841.1,830.4,835.4,43781,42216
02/07/2007,17:00,835.6,839.4,832.4,833.8,35418,36069
02/08/2007,17:00,833.9,843.5,829.9,842.8,58872,56263
02/09/2007,17:00,842.5,851.3,839.0,849.0,60200,56449
02/12/2007,17:00,850.8,850.9,841.5,842.7,43661,49154
02/13/2007,17:00,843.5,851.3,842.5,846.0,45770,44808
02/14/2007,17:00,846.4,854.0,845.4,850.7,49716,46892
02/15/2007,17:00,851.1,852.4,843.9,850.9,44483,44895
02/16/2007,17:00,851.5,851.5,844.1,850.3,35208,35264
02/19/2007,17:00,850.6,855.2,849.0,851.9,5554,5200
02/20/2007,17:00,852.4,853.3,836.5,838.2,56760,60795
02/21/2007,17:00,838.2,863.8,838.0,860.1,86537,77273
02/22/2007,17:00,860.1,862.1,856.1,857.9,51510,52070
02/23/2007,17:00,858.6,869.3,853.6,863.3,69204,61355
02/26/2007,17:00,862.0,869.1,862.0,867.3,48579,48124
02/27/2007,17:00,867.3,869.9,837.4,843.5,100447,109599
02/28/2007,17:00,846.8,857.9,841.4,849.6,81894,82574
03/01/2007,17:00,850.2,857.6,833.4,844.1,80722,88352
03/02/2007,17:00,844.2,845.6,818.7,822.0,100912,103864
03/05/2007,17:00,823.0,824.4,812.5,815.7,78354,87886
03/06/2007,17:00,815.8,827.4,811.9,826.2,62635,55757
03/07/2007,17:00,826.5,831.1,821.9,828.4,58729,55719
03/08/2007,17:00,828.6,835.1,826.4,830.6,47243,48395
03/09/2007,17:00,831.1,837.1,826.2,827.7,60319,63142
03/12/2007,17:00,828.3,832.8,824.2,828.9,44109,48000
03/13/2007,17:00,829.6,831.2,820.2,822.2,44770,51783
03/14/2007,17:00,821.4,824.4,815.0,822.9,68477,66084
03/15/2007,17:00,822.5,828.6,821.9,824.6,44941,45343
03/16/2007,17:00,824.6,833.9,824.2,831.4,48833,46385
03/19/2007,17:00,831.3,834.5,829.9,831.8,26190,29803
03/20/2007,17:00,831.8,839.3,830.7,836.9,49224,44054
03/21/2007,17:00,836.4,842.5,834.9,842.4,44409,39426
03/22/2007,17:00,842.9,844.8,839.8,841.3,1768,2185
03/23/2007,17:00,842.0,842.5,832.4,834.4,2273,3376
03/26/2007,17:00,835.1,843.8,834.4,841.5,3601,2722
03/27/2007,17:00,841.3,843.3,839.1,842.5,3204,4239
03/28/2007,17:00,844.1,847.3,840.7,843.2,14694,16256
03/29/2007,17:00,843.6,843.6,831.9,838.6,52393,53259
03/30/2007,17:00,838.5,844.9,837.6,840.3,52142,52650
04/02/2007,17:00,842.2,843.4,832.9,840.7,59249,58837
04/03/2007,17:00,841.1,844.5,838.6,840.5,51315,51354
04/04/2007,17:00,841.4,852.2,839.9,850.4,80819,78743
04/05/2007,17:00,850.5,852.0,847.7,850.7,39765,36466
04/09/2007,17:00,848.9,854.2,846.7,847.1,34465,33299
04/10/2007,17:00,847.3,857.8,846.9,852.9,46269,46300
04/11/2007,17:00,853.5,857.3,850.2,853.2,42149,44883
04/12/2007,17:00,853.3,855.7,846.7,851.6,53483,54107
04/13/2007,17:00,851.8,861.6,851.2,861.0,67620,65552
04/16/2007,17:00,861.7,866.9,858.5,865.3,56892,60210
04/17/2007,17:00,865.8,866.5,861.3,862.0,39769,46225
04/18/2007,17:00,862.1,866.5,860.1,865.3,53780,52715
04/19/2007,17:00,865.0,867.0,853.8,857.4,65790,70952
04/20/2007,17:00,858.8,868.8,857.8,867.1,57875,50526
04/23/2007,17:00,867.3,868.8,861.7,863.5,40980,44026
04/24/2007,17:00,864.4,866.8,855.4,858.5,67106,70535
04/25/2007,17:00,858.5,861.7,856.9,860.7,44087,45868
04/26/2007,17:00,860.1,861.4,845.5,848.7,85517,94159
04/27/2007,17:00,848.8,856.0,844.9,855.4,58891,54052
04/30/2007,17:00,855.3,856.0,849.9,852.2,38358,41594
05/01/2007,17:00,852.3,853.4,845.7,847.3,53428,61043
05/02/2007,17:00,847.8,849.0,841.2,846.8,58112,59399
05/03/2007,17:00,846.5,856.2,845.6,855.6,60698,54978
05/04/2007,17:00,855.3,864.3,853.7,862.3,63975,61495
05/07/2007,17:00,862.1,864.4,860.1,861.8,25564,25357
05/08/2007,17:00,862.0,862.4,855.2,858.8,45660,53186
05/09/2007,17:00,858.2,860.0,848.8,853.7,55765,63473
05/10/2007,17:00,853.3,854.3,837.0,838.6,91663,103706
05/11/2007,17:00,838.7,845.4,837.4,843.6,70637,57430
05/14/2007,17:00,844.1,847.5,838.6,842.0,50547,50952
05/15/2007,17:00,841.6,845.9,837.2,844.5,58769,56202
05/16/2007,17:00,844.2,845.5,831.7,833.9,64330,77013
05/17/2007,17:00,834.3,836.4,825.2,829.3,72244,76854
05/18/2007,17:00,829.5,834.8,827.5,833.3,55959,47157
05/21/2007,17:00,833.6,835.7,828.6,834.7,46071,43168
05/22/2007,17:00,835.0,837.1,829.8,830.6,856,1018
05/23/2007,17:00,830.4,836.1,828.5,833.3,1096,1137
05/24/2007,17:00,833.2,834.0,822.5,825.2,4181,5221
05/25/2007,17:00,825.2,827.9,818.4,820.9,13326,12611
05/28/2007,17:00,820.1,821.5,819.6,819.9,1240,1099
05/29/2007,17:00,820.4,829.2,819.4,827.7,30539,29019
05/30/2007,17:00,827.2,829.5,822.6,823.8,33473,33781
05/31/2007,17:00,823.6,832.4,823.5,831.0,53404,53108
06/01/2007,17:00,831.4,842.4,831.1,842.1,75096,68174
06/04/2007,17:00,841.8,844.4,839.1,841.2,47934,47633
06/05/2007,17:00,841.3,843.7,839.1,840.2,40845,44532
06/06/2007,17:00,840.2,842.2,835.1,840.6,62719,68171
06/07/2007,17:00,840.4,842.9,827.6,828.6,84360,86174
06/08/2007,17:00,828.8,830.8,812.7,818.0,106554,106348
06/11/2007,17:00,818.2,824.3,818.1,822.4,49612,43646
06/12/2007,17:00,822.7,823.7,814.4,815.9,49985,51380
06/13/2007,17:00,817.5,821.8,811.9,820.4,62509,58290
06/14/2007,17:00,820.3,823.1,814.4,820.4,55787,56384
06/15/2007,17:00,820.7,824.3,818.5,823.8,45634,42515
06/18/2007,17:00,823.6,827.8,823.0,824.4,35046,32451
06/19/2007,17:00,824.3,830.6,822.0,829.8,58159,55472
06/20/2007,17:00,829.5,830.3,820.4,822.3,51498,57618
06/21/2007,17:00,821.6,824.6,815.5,819.8,66050,69223
06/22/2007,17:00,819.9,824.4,818.4,822.1,45500,44916
06/25/2007,17:00,822.3,822.6,816.5,818.9,39623,41186
06/26/2007,17:00,819.3,819.6,807.8,808.5,79116,94544
06/27/2007,17:00,808.0,812.4,806.0,811.0,54134,54455
06/28/2007,17:00,811.1,817.4,810.4,816.3,54279,48138
06/29/2007,17:00,815.9,819.9,813.7,816.6,39962,45300
07/02/2007,17:00,816.5,826.1,815.5,824.2,62566,56674
07/03/2007,17:00,824.1,825.2,819.1,820.1,39717,44042
07/04/2007,17:00,821.0,822.1,820.2,821.2,4536,3083
