"Date","Time","Open","High","Low","Close","Up","Down"
01/01/2007,19:00,3.4215,3.4215,3.4215,3.4215,2,0
01/01/2007,21:00,3.4175,3.4175,3.4105,3.4105,3,17
01/01/2007,23:00,3.4020,3.4020,3.4015,3.4015,1,3
01/02/2007,00:00,3.4015,3.4015,3.4005,3.4005,0,6
01/02/2007,01:00,3.4005,3.4025,3.3935,3.4025,4,8
01/02/2007,02:00,3.4040,3.4075,3.4040,3.4055,11,7
01/02/2007,03:00,3.4055,3.4125,3.4025,3.4100,31,15
01/02/2007,04:00,3.4100,3.4205,3.4100,3.4190,79,19
01/02/2007,05:00,3.4195,3.4195,3.3755,3.3760,51,153
01/02/2007,06:00,3.3760,3.3765,3.3650,3.3725,59,45
01/02/2007,07:00,3.3725,3.3790,3.3660,3.3770,88,23
01/02/2007,08:00,3.3755,3.3755,3.3555,3.3605,42,103
01/02/2007,09:00,3.3620,3.3685,3.3405,3.3500,419,510
01/02/2007,10:00,3.3495,3.3565,3.3445,3.3505,182,143
01/02/2007,11:00,3.3505,3.3515,3.3175,3.3215,159,581
01/02/2007,12:00,3.3220,3.3315,3.3215,3.3305,198,199
01/02/2007,13:00,3.3305,3.3430,3.3305,3.3315,102,142
01/02/2007,14:00,3.3330,3.3385,3.3320,3.3385,9,2
01/02/2007,15:00,3.3410,3.3410,3.3365,3.3385,28,20
01/02/2007,16:00,3.3385,3.3455,3.3385,3.3430,22,4
01/02/2007,17:00,3.3405,3.3430,3.3405,3.3425,5,4
01/02/2007,19:00,3.3485,3.3485,3.3405,3.3405,3,24
01/02/2007,20:00,3.3405,3.3405,3.3380,3.3380,0,13
01/02/2007,21:00,3.3445,3.3445,3.3305,3.3305,11,16
01/02/2007,22:00,3.3470,3.3470,3.3470,3.3470,2,0
01/02/2007,23:00,3.3425,3.3455,3.3425,3.3455,4,2
01/03/2007,00:00,3.3435,3.3435,3.3370,3.3370,2,8
01/03/2007,01:00,3.3385,3.3410,3.3385,3.3405,18,10
01/03/2007,02:00,3.3320,3.3345,3.3315,3.3320,15,17
01/03/2007,03:00,3.3320,3.3345,3.3105,3.3105,36,300
01/03/2007,04:00,3.3105,3.3125,3.2785,3.2915,585,646
01/03/2007,05:00,3.2905,3.3105,3.2875,3.2905,109,96
01/03/2007,06:00,3.2895,3.2940,3.2535,3.2645,145,282
01/03/2007,07:00,3.2625,3.2650,3.2355,3.2355,126,220
01/03/2007,08:00,3.2355,3.2460,3.2005,3.2255,1394,1675
01/03/2007,09:00,3.2255,3.2675,3.2225,3.2455,1213,1413
01/03/2007,10:00,3.2425,3.2545,3.2255,3.2330,574,597
01/03/2007,11:00,3.2335,3.2385,3.2115,3.2235,899,899
01/03/2007,12:00,3.2235,3.2270,3.1970,3.2190,542,799
01/03/2007,13:00,3.2195,3.2245,3.2015,3.2025,298,330
01/03/2007,14:00,3.2040,3.2105,3.2030,3.2105,190,39
01/03/2007,15:00,3.2045,3.2190,3.2005,3.2190,43,71
01/03/2007,16:00,3.2185,3.2185,3.2065,3.2065,22,43
01/03/2007,17:00,3.2105,3.2125,3.2065,3.2065,10,16
01/03/2007,19:00,3.2105,3.2105,3.1965,3.2045,8,10
01/03/2007,20:00,3.2015,3.2025,3.2005,3.2005,34,44
01/03/2007,21:00,3.2045,3.2085,3.2045,3.2055,42,9
01/03/2007,22:00,3.2085,3.2085,3.2055,3.2055,4,4
01/03/2007,23:00,3.2005,3.2005,3.2005,3.2005,0,4
01/04/2007,00:00,3.2035,3.2065,3.2025,3.2055,92,40
01/04/2007,01:00,3.2055,3.2055,3.1415,3.1505,179,216
01/04/2007,02:00,3.1505,3.1505,3.1240,3.1255,177,233
01/04/2007,03:00,3.1245,3.1575,3.1240,3.1405,111,225
01/04/2007,04:00,3.1435,3.1455,3.1260,3.1315,326,243
01/04/2007,05:00,3.1405,3.1510,3.1320,3.1505,192,134
01/04/2007,06:00,3.1470,3.1500,3.1375,3.1425,96,93
01/04/2007,07:00,3.1425,3.1450,3.1295,3.1305,142,224
01/04/2007,08:00,3.1285,3.1415,3.1070,3.1190,323,607
01/04/2007,09:00,3.1205,3.1480,3.1105,3.1285,762,1045
01/04/2007,10:00,3.1255,3.1785,3.1245,3.1720,757,794
01/04/2007,11:00,3.1710,3.1730,3.1435,3.1630,870,1340
01/04/2007,12:00,3.1640,3.1690,3.1480,3.1480,419,612
01/04/2007,13:00,3.1495,3.1630,3.1455,3.1505,390,610
01/04/2007,14:00,3.1490,3.1525,3.1455,3.1505,127,221
01/04/2007,15:00,3.1505,3.1600,3.1505,3.1555,18,22
01/04/2007,16:00,3.1595,3.1645,3.1540,3.1625,39,74
01/04/2007,17:00,3.1635,3.1635,3.1540,3.1555,25,55
01/04/2007,19:00,3.1615,3.1645,3.1555,3.1555,11,9
01/04/2007,20:00,3.1565,3.1565,3.1565,3.1565,2,0
01/04/2007,21:00,3.1555,3.1880,3.1555,3.1880,167,39
01/04/2007,22:00,3.1805,3.1935,3.1805,3.1865,16,36
01/04/2007,23:00,3.1865,3.2005,3.1820,3.2005,84,12
01/05/2007,00:00,3.2000,3.2000,3.1780,3.1805,30,58
01/05/2007,01:00,3.1805,3.1865,3.1795,3.1820,46,20
01/05/2007,02:00,3.1835,3.1850,3.1755,3.1805,34,22
01/05/2007,03:00,3.1790,3.1820,3.1615,3.1655,54,78
01/05/2007,04:00,3.1655,3.1765,3.1545,3.1660,139,130
01/05/2007,05:00,3.1670,3.1670,3.1515,3.1540,41,128
01/05/2007,06:00,3.1545,3.1575,3.1355,3.1435,47,75
01/05/2007,07:00,3.1470,3.1655,3.1425,3.1590,65,45
01/05/2007,08:00,3.1555,3.1705,3.1530,3.1635,70,188
01/05/2007,09:00,3.1605,3.1605,3.1205,3.1465,1030,803
01/05/2007,10:00,3.1455,3.1595,3.1310,3.1405,690,446
01/05/2007,11:00,3.1425,3.1520,3.1230,3.1240,406,436
01/05/2007,12:00,3.1245,3.1245,3.0705,3.0940,1453,1489
01/05/2007,13:00,3.0960,3.1005,3.0795,3.0855,559,537
01/05/2007,14:00,3.0880,3.0920,3.0830,3.0885,86,198
01/05/2007,15:00,3.0905,3.1020,3.0885,3.0960,45,41
01/05/2007,16:00,3.0905,3.0955,3.0835,3.0910,99,89
01/05/2007,17:00,3.0855,3.0905,3.0825,3.0895,13,20
01/07/2007,19:00,3.0855,3.0950,3.0850,3.0860,3,6
01/07/2007,20:00,3.0855,3.0955,3.0855,3.0955,4,1
01/07/2007,21:00,3.0955,3.0955,3.0815,3.0835,8,62
01/07/2007,22:00,3.0850,3.0855,3.0705,3.0775,97,91
01/07/2007,23:00,3.0745,3.0760,3.0705,3.0715,44,79
01/08/2007,00:00,3.0720,3.0725,3.0505,3.0635,117,85
01/08/2007,01:00,3.0530,3.0625,3.0505,3.0605,32,61
01/08/2007,02:00,3.0555,3.0600,3.0505,3.0595,44,18
01/08/2007,03:00,3.0595,3.0625,3.0315,3.0315,39,182
01/08/2007,04:00,3.0315,3.0395,3.0205,3.0350,267,313
01/08/2007,05:00,3.0355,3.0765,3.0355,3.0685,422,325
01/08/2007,06:00,3.0680,3.0695,3.0555,3.0565,23,54
01/08/2007,07:00,3.0535,3.0555,3.0360,3.0555,59,98
01/08/2007,08:00,3.0590,3.0785,3.0590,3.0785,127,159
01/08/2007,09:00,3.0790,3.1200,3.0760,3.1135,1060,923
