"Date","Time","Open","High","Low","Close","Vol","OI"
05/14/2001,16:00,1.12605,1.12775,1.12535,1.12605,8544,89274
05/15/2001,16:00,1.12455,1.12745,1.12335,1.12475,7176,90182
05/16/2001,16:00,1.12415,1.12565,1.12275,1.12435,12190,93982
05/17/2001,16:00,1.13065,1.13125,1.12545,1.13045,11433,93118
05/18/2001,16:00,1.13045,1.13045,1.12195,1.12305,8915,93822
05/21/2001,16:00,1.12315,1.13035,1.12275,1.13015,11005,86063
05/22/2001,16:00,1.12965,1.13105,1.12515,1.12925,20700,95360
05/23/2001,16:00,1.12815,1.15215,1.12795,1.14895,16909,85364
05/24/2001,16:00,1.14635,1.15525,1.14495,1.14695,9147,83598
05/25/2001,16:00,1.14335,1.14525,1.14175,1.14295,7140,82771
05/28/2001,16:00,1.14835,1.14835,1.13885,1.14295,698,82771
05/29/2001,16:00,1.14315,1.14715,1.13745,1.14635,11171,84246
05/30/2001,16:00,1.14445,1.14655,1.14305,1.14455,17709,82984
05/31/2001,16:00,1.14375,1.15715,1.14305,1.15245,32809,81814
06/01/2001,16:00,1.15675,1.15675,1.15145,1.15285,8265,80527
06/04/2001,16:00,1.15185,1.15425,1.14735,1.15115,14067,79847
06/05/2001,16:00,1.15125,1.15535,1.14325,1.14405,18788,78818
06/06/2001,16:00,1.14445,1.14515,1.14045,1.14365,18642,77082
06/07/2001,16:00,1.14495,1.14855,1.14395,1.14575,11743,76712
06/08/2001,16:00,1.14525,1.14525,1.13865,1.13905,27857,68786
06/11/2001,16:00,1.13945,1.13975,1.13145,1.13255,13698,57358
06/12/2001,16:00,1.13375,1.13475,1.13155,1.13305,6722,50080
06/13/2001,16:00,1.12665,1.13415,1.12145,1.13135,18516,52664
06/14/2001,16:00,1.12295,1.13735,1.12245,1.13585,21046,58030
06/15/2001,16:00,1.12635,1.13895,1.11635,1.12395,9654,61962
06/18/2001,16:00,1.10915,1.12465,1.10915,1.12205,8736,59690
06/19/2001,16:00,1.11455,1.12655,1.11455,1.12365,12731,55628
