"Date","Time","Open","High","Low","Close","Up","Down"
01/03/2007,13:05,124.550,125.000,124.200,124.550,329,321
01/04/2007,13:05,124.425,124.425,123.100,123.750,504,887
01/05/2007,13:05,123.750,124.650,123.425,124.150,261,273
01/08/2007,13:05,124.150,125.100,124.150,124.775,156,167
01/09/2007,13:05,124.825,125.125,123.525,123.750,153,227
01/10/2007,13:05,123.950,125.650,123.950,125.650,449,282
01/11/2007,13:05,125.550,125.600,123.975,125.125,325,480
01/12/2007,13:05,124.725,124.725,122.300,123.700,359,521
01/16/2007,13:05,123.350,124.025,122.250,123.975,279,311
01/17/2007,13:05,124.100,124.375,123.800,124.250,101,30
01/18/2007,13:05,124.100,124.325,123.775,124.075,40,29
01/19/2007,13:05,123.875,123.875,122.225,122.650,52,103
01/22/2007,13:05,122.550,122.900,121.875,121.875,32,165
01/23/2007,13:05,121.650,122.000,120.925,121.200,85,152
01/24/2007,13:05,121.150,121.750,121.075,121.525,258,293
01/25/2007,13:05,121.450,122.025,121.300,121.600,191,81
01/26/2007,13:05,121.275,121.625,121.000,121.625,37,21
01/29/2007,13:05,121.575,122.100,121.550,121.725,93,69
01/30/2007,13:05,121.425,121.425,120.450,120.775,479,355
01/31/2007,13:05,120.700,121.900,120.700,121.400,305,189
02/01/2007,13:05,121.375,121.450,120.825,121.050,467,252
02/02/2007,13:05,121.075,122.975,121.000,122.700,526,277
02/05/2007,13:05,122.800,124.100,122.800,123.800,639,662
02/06/2007,13:05,123.600,123.900,123.275,123.550,411,385
02/07/2007,13:05,124.100,124.450,123.825,123.950,377,502
02/08/2007,13:05,124.000,124.100,123.150,123.150,197,305
02/09/2007,13:05,123.150,123.500,122.825,123.175,182,201
02/12/2007,13:05,123.050,123.675,122.825,123.600,167,155
02/13/2007,13:05,123.825,124.650,123.775,124.600,410,136
02/14/2007,13:05,124.800,124.800,124.150,124.450,455,403
02/15/2007,13:05,124.550,124.600,124.000,124.500,253,346
02/16/2007,13:05,124.450,124.825,124.150,124.800,260,184
02/20/2007,13:05,124.300,124.300,123.475,123.675,272,408
02/21/2007,13:05,123.800,124.725,123.700,124.725,402,616
02/22/2007,13:05,124.600,124.900,124.375,124.550,305,255
02/23/2007,13:05,124.375,124.675,124.025,124.375,355,386
02/26/2007,13:05,124.450,126.400,124.375,125.600,1335,887
02/27/2007,13:05,125.375,125.650,124.600,125.650,540,474
02/28/2007,13:05,125.500,126.000,125.150,125.375,470,331
03/01/2007,13:05,125.050,125.150,124.375,124.375,466,594
03/02/2007,13:05,124.400,126.425,124.300,125.875,912,734
03/05/2007,13:05,125.900,126.150,125.350,125.550,501,783
03/06/2007,13:05,125.550,126.150,125.550,125.800,350,638
03/07/2007,13:05,125.875,127.000,125.150,127.000,726,363
03/08/2007,13:05,127.825,129.750,127.750,129.200,1165,1439
03/09/2007,13:05,129.325,129.925,128.950,129.550,385,293
03/12/2007,13:05,129.825,131.075,129.750,130.125,462,326
03/13/2007,13:05,130.225,130.225,128.450,128.450,375,414
03/14/2007,13:05,128.125,128.675,127.300,128.200,673,564
03/15/2007,13:05,128.750,129.000,126.875,127.450,663,794
03/16/2007,13:05,126.800,126.800,125.250,125.250,611,680
03/19/2007,13:05,125.400,126.150,125.175,126.150,149,85
03/20/2007,13:05,125.950,125.950,125.550,125.750,67,57
03/21/2007,13:05,125.525,126.200,125.050,126.025,61,46
03/22/2007,13:05,125.400,126.725,125.400,126.625,141,81
03/23/2007,13:05,126.625,127.050,126.075,126.475,95,103
03/26/2007,13:05,126.075,126.600,126.075,126.175,68,43
03/27/2007,13:05,123.600,123.600,121.675,121.675,572,445
03/28/2007,13:05,121.300,121.900,120.600,121.600,319,299
03/29/2007,13:05,121.600,122.400,121.600,122.325,310,303
03/30/2007,13:05,122.450,123.300,122.100,123.300,142,152
04/02/2007,13:05,123.475,124.725,123.075,124.700,355,371
04/03/2007,13:05,124.500,124.925,123.400,123.400,366,473
04/04/2007,13:05,123.400,124.250,123.400,123.900,266,322
04/05/2007,13:05,124.800,125.400,124.325,124.400,165,160
04/09/2007,13:05,124.525,125.050,124.125,125.050,153,188
04/10/2007,13:05,125.000,125.000,123.575,124.150,490,666
04/11/2007,13:05,124.000,124.075,122.575,122.975,258,283
04/12/2007,13:05,122.800,122.975,120.700,120.700,624,852
04/13/2007,13:05,120.275,121.250,120.000,120.950,776,653
04/16/2007,13:05,121.050,121.200,120.575,121.125,292,593
04/17/2007,13:05,121.200,121.650,120.800,121.425,206,243
04/18/2007,13:05,121.425,122.000,120.725,121.050,247,398
04/19/2007,13:05,121.000,121.125,120.450,120.850,299,335
04/20/2007,13:05,120.450,120.700,120.300,120.550,253,201
04/23/2007,13:05,120.325,121.650,120.325,121.400,475,396
04/24/2007,13:05,121.325,122.000,120.925,121.700,260,243
04/25/2007,13:05,121.625,121.825,120.950,121.500,218,339
04/26/2007,13:05,121.400,121.575,120.725,120.950,284,278
04/27/2007,13:05,121.050,121.525,120.900,121.525,132,153
04/30/2007,13:05,121.600,122.775,121.600,122.350,685,728
05/01/2007,13:05,122.225,122.625,122.000,122.050,309,305
05/02/2007,13:05,122.600,122.700,121.750,122.050,303,489
05/03/2007,13:05,121.875,121.875,119.875,119.875,1311,1438
05/04/2007,13:05,119.950,120.625,119.950,120.300,382,339
05/07/2007,13:05,120.250,120.500,119.975,119.975,184,239
