"Date","Time","Open","High","Low","Close","Up","Down"
01/01/2007,19:00,17.636,17.673,17.615,17.673,41,58
01/01/2007,20:00,17.671,17.671,17.611,17.613,7,30
01/01/2007,21:00,17.614,17.638,17.606,17.606,6,10
01/01/2007,22:00,17.606,17.641,17.586,17.586,18,44
01/01/2007,23:00,17.591,17.601,17.560,17.581,67,61
01/02/2007,00:00,17.576,17.579,17.554,17.576,20,36
01/02/2007,01:00,17.576,17.581,17.561,17.581,28,3
01/02/2007,02:00,17.581,17.581,17.567,17.567,2,5
01/02/2007,03:00,17.567,17.621,17.561,17.561,38,7
01/02/2007,04:00,17.567,17.567,17.567,17.567,1,0
01/02/2007,05:00,17.572,17.572,17.562,17.569,7,1
01/02/2007,06:00,17.569,17.595,17.536,17.536,16,55
01/02/2007,07:00,17.537,17.551,17.536,17.537,20,29
01/02/2007,08:00,17.544,17.581,17.531,17.573,105,64
01/02/2007,09:00,17.582,17.691,17.576,17.631,169,116
01/02/2007,10:00,17.627,17.646,17.571,17.573,160,305
01/02/2007,11:00,17.569,17.621,17.556,17.601,345,325
01/02/2007,12:00,17.597,17.664,17.571,17.655,323,401
01/02/2007,13:00,17.655,17.671,17.622,17.654,211,208
01/02/2007,14:00,17.655,17.699,17.655,17.677,153,129
01/02/2007,15:00,17.676,17.701,17.671,17.701,58,45
01/02/2007,16:00,17.711,17.731,17.701,17.731,46,21
01/02/2007,17:00,17.712,17.712,17.712,17.712,0,1
01/02/2007,19:00,17.731,17.736,17.661,17.661,4,13
01/02/2007,20:00,17.691,17.691,17.690,17.690,6,1
01/02/2007,21:00,17.691,17.691,17.691,17.691,5,0
01/02/2007,22:00,17.679,17.679,17.672,17.672,0,12
01/02/2007,23:00,17.671,17.691,17.671,17.671,2,4
01/03/2007,00:00,17.681,17.687,17.681,17.687,2,0
01/03/2007,01:00,17.691,17.712,17.691,17.706,8,3
01/03/2007,03:00,17.682,17.682,17.682,17.682,0,1
01/03/2007,04:00,17.684,17.686,17.684,17.686,8,0
01/03/2007,05:00,17.687,17.696,17.673,17.674,15,32
01/03/2007,06:00,17.674,17.725,17.674,17.725,40,12
01/03/2007,07:00,17.728,17.728,17.672,17.676,14,31
01/03/2007,08:00,17.669,17.771,17.666,17.744,75,35
01/03/2007,09:00,17.761,17.829,17.722,17.738,619,382
01/03/2007,10:00,17.738,17.751,17.701,17.711,752,736
01/03/2007,11:00,17.706,17.711,17.575,17.651,4317,4477
01/03/2007,12:00,17.651,17.710,17.629,17.657,2315,1961
01/03/2007,13:00,17.654,17.655,17.571,17.606,1506,1985
01/03/2007,14:00,17.606,17.631,17.590,17.605,1179,1348
01/03/2007,15:00,17.604,17.628,17.575,17.601,713,1090
01/03/2007,16:00,17.596,17.625,17.592,17.595,19,56
01/03/2007,17:00,17.590,17.609,17.580,17.607,19,22
01/03/2007,19:00,17.596,17.601,17.594,17.594,5,7
01/03/2007,20:00,17.600,17.631,17.598,17.622,13,4
01/03/2007,21:00,17.622,17.672,17.622,17.670,111,4
01/03/2007,22:00,17.651,17.671,17.646,17.646,11,13
01/04/2007,00:00,17.661,17.661,17.651,17.661,21,16
01/04/2007,01:00,17.671,17.671,17.651,17.651,5,5
01/04/2007,02:00,17.651,17.676,17.651,17.661,2,5
01/04/2007,03:00,17.676,17.679,17.675,17.678,8,3
01/04/2007,04:00,17.676,17.687,17.663,17.677,30,20
01/04/2007,05:00,17.686,17.690,17.685,17.687,14,4
01/04/2007,06:00,17.690,17.718,17.690,17.700,132,18
01/04/2007,07:00,17.706,17.726,17.691,17.716,107,57
01/04/2007,08:00,17.711,17.819,17.711,17.756,365,137
01/04/2007,09:00,17.756,17.756,17.701,17.731,241,379
01/04/2007,10:00,17.730,17.731,17.618,17.646,541,809
01/04/2007,11:00,17.646,17.760,17.615,17.748,3322,3027
01/04/2007,12:00,17.748,17.876,17.717,17.753,4079,4241
01/04/2007,13:00,17.752,17.777,17.676,17.721,1452,1891
