"Date","Time","Open","High","Low","Close","Up","Down"
01/01/2007,23:00,1303.90,1303.90,1303.90,1303.90,0,2
01/02/2007,04:00,1303.30,1306.90,1303.30,1306.90,5,1
01/02/2007,05:00,1306.90,1306.90,1306.90,1306.90,6,0
01/02/2007,06:00,1306.90,1307.90,1306.90,1307.90,7,0
01/02/2007,07:00,1302.90,1302.90,1302.90,1302.90,0,6
01/02/2007,08:00,1309.90,1309.90,1309.90,1309.90,5,0
01/02/2007,09:00,1308.40,1308.40,1305.90,1305.90,0,32
01/02/2007,10:00,1301.90,1301.90,1301.70,1301.70,0,20
01/02/2007,11:00,1301.60,1301.60,1301.50,1301.50,0,2
01/02/2007,12:00,1302.90,1303.90,1302.90,1303.90,7,0
01/02/2007,14:00,1306.90,1306.90,1306.90,1306.90,16,0
01/02/2007,15:00,1307.90,1307.90,1307.90,1307.90,1,0
01/02/2007,16:00,1305.90,1305.90,1305.90,1305.90,0,1
01/02/2007,21:00,1307.70,1308.90,1307.70,1308.90,14,0
01/02/2007,22:00,1308.90,1310.80,1303.10,1303.10,40,2
01/03/2007,01:00,1304.10,1304.10,1303.90,1303.90,1,4
01/03/2007,04:00,1303.40,1303.40,1302.90,1302.90,0,6
01/03/2007,05:00,1302.90,1302.90,1299.90,1299.90,0,16
01/03/2007,06:00,1296.90,1296.90,1296.90,1296.90,0,5
01/03/2007,07:00,1298.90,1298.90,1298.90,1298.90,2,0
01/03/2007,08:00,1297.40,1297.90,1296.90,1297.90,14,29
01/03/2007,09:00,1299.50,1309.00,1293.10,1303.90,134,73
01/03/2007,10:00,1306.90,1308.80,1303.10,1304.90,42,65
01/03/2007,11:00,1306.90,1308.40,1300.90,1302.90,19,71
01/03/2007,12:00,1302.90,1302.90,1293.90,1294.90,10,54
01/03/2007,13:00,1294.20,1294.90,1292.80,1293.40,23,19
01/03/2007,14:00,1293.40,1294.90,1293.40,1294.90,4,5
01/03/2007,15:00,1295.90,1295.90,1294.90,1295.90,3,5
01/03/2007,17:00,1292.20,1292.20,1290.90,1290.90,0,8
01/03/2007,20:00,1289.90,1289.90,1282.90,1287.90,8,37
01/03/2007,21:00,1287.90,1293.90,1287.90,1293.90,12,0
01/03/2007,23:00,1293.80,1296.90,1293.80,1296.90,10,1
01/04/2007,01:00,1294.90,1296.90,1294.90,1294.90,1,10
01/04/2007,05:00,1291.00,1291.00,1287.90,1287.90,0,15
01/04/2007,06:00,1285.40,1287.90,1285.40,1287.90,3,21
01/04/2007,08:00,1291.90,1291.90,1291.90,1291.90,11,0
01/04/2007,09:00,1291.90,1294.90,1291.90,1294.90,66,0
01/04/2007,10:00,1296.40,1300.40,1291.10,1293.90,34,47
01/04/2007,11:00,1294.80,1294.80,1291.90,1292.90,8,8
01/04/2007,12:00,1293.40,1297.40,1292.90,1297.40,5,2
01/04/2007,13:00,1296.40,1296.40,1293.00,1294.90,16,7
01/04/2007,14:00,1294.40,1294.40,1290.90,1290.90,0,10
01/04/2007,15:00,1293.90,1293.90,1286.90,1286.90,1,20
01/04/2007,20:00,1287.90,1294.90,1287.90,1294.90,11,2
01/04/2007,22:00,1294.90,1294.90,1294.90,1294.90,8,0
01/04/2007,23:00,1296.90,1296.90,1294.90,1294.90,1,1
01/05/2007,00:00,1292.90,1292.90,1292.90,1292.90,0,1
01/05/2007,02:00,1292.90,1292.90,1292.90,1292.90,0,3
01/05/2007,03:00,1288.40,1288.40,1288.40,1288.40,0,1
01/05/2007,05:00,1289.40,1291.40,1289.40,1291.40,12,0
01/05/2007,06:00,1297.90,1298.90,1297.90,1298.90,12,0
01/05/2007,08:00,1295.90,1295.90,1295.90,1295.90,0,9
01/05/2007,09:00,1293.90,1294.90,1286.90,1289.90,11,67
01/05/2007,10:00,1287.90,1293.40,1278.90,1281.40,98,110
01/05/2007,11:00,1282.90,1283.40,1272.90,1272.90,145,112
01/05/2007,12:00,1273.90,1275.90,1272.80,1275.90,27,43
01/05/2007,13:00,1275.80,1275.80,1271.90,1273.40,13,26
