"Date","Time","Open","High","Low","Close","Up","Down"
01/02/2007,17:00,16.408,16.728,16.408,16.713,3669,2897
01/03/2007,17:00,16.723,16.723,16.043,16.088,13575,16240
01/04/2007,17:00,16.108,16.368,15.928,16.133,11367,12289
01/05/2007,17:00,16.153,16.278,15.543,15.713,14491,17055
01/08/2007,17:00,15.663,15.868,15.538,15.843,9165,9171
01/09/2007,17:00,15.823,16.063,15.708,16.028,9517,8655
01/10/2007,17:00,16.033,16.033,15.713,15.888,9039,11098
01/11/2007,17:00,15.873,16.068,15.823,15.853,7692,8400
01/12/2007,17:00,15.843,16.403,15.823,16.393,11580,11386
01/15/2007,17:00,16.348,16.478,16.318,16.393,1474,1279
01/16/2007,17:00,16.388,16.418,16.053,16.053,10469,10734
01/17/2007,17:00,16.063,16.438,15.873,16.313,12837,12336
01/18/2007,17:00,16.343,16.488,16.098,16.138,9384,10632
01/19/2007,17:00,16.173,16.373,16.143,16.373,7794,6673
01/22/2007,17:00,16.368,16.658,16.273,16.423,14921,13955
01/23/2007,17:00,16.423,16.788,16.393,16.758,13033,11178
01/24/2007,17:00,16.763,16.788,16.538,16.728,12157,13211
01/25/2007,17:00,16.743,17.038,16.688,16.818,15530,14645
01/26/2007,17:00,16.793,16.953,16.653,16.873,11050,11556
01/29/2007,17:00,16.878,16.943,16.643,16.658,9277,10362
01/30/2007,17:00,16.673,16.883,16.553,16.853,9207,9216
01/31/2007,17:00,16.828,17.143,16.713,17.003,16015,14929
02/01/2007,17:00,17.038,17.278,17.013,17.128,11666,12070
02/02/2007,17:00,17.163,17.198,16.698,16.863,15970,15828
02/05/2007,17:00,16.883,17.028,16.773,16.973,9377,9005
02/06/2007,17:00,16.968,17.333,16.903,17.103,11009,10443
02/07/2007,17:00,17.118,17.248,17.073,17.093,10643,11491
02/08/2007,17:00,17.108,17.333,16.953,17.248,10258,12262
02/09/2007,17:00,17.288,17.413,17.218,17.338,11312,11006
02/12/2007,17:00,17.423,17.428,16.958,17.133,13786,14583
02/13/2007,17:00,17.113,17.443,17.103,17.343,15021,15736
02/14/2007,17:00,17.358,17.573,17.308,17.493,14124,13216
02/15/2007,17:00,17.503,17.528,17.273,17.433,11373,12484
02/16/2007,17:00,17.453,17.493,17.293,17.433,8718,7425
02/19/2007,17:00,17.443,17.518,17.413,17.453,954,991
02/20/2007,17:00,17.468,17.498,17.123,17.288,11720,12256
02/21/2007,17:00,17.293,17.318,17.223,17.253,525,670
02/22/2007,17:00,17.659,17.809,17.619,17.659,753,727
02/23/2007,17:00,17.694,18.109,17.639,18.024,1428,1238
02/26/2007,17:00,18.044,18.194,17.944,18.149,2643,3620
02/27/2007,17:00,18.169,18.169,17.484,17.639,21434,27751
02/28/2007,17:00,17.659,17.869,17.429,17.564,19928,21355
03/01/2007,17:00,17.549,17.774,16.819,17.049,23659,24670
03/02/2007,17:00,17.044,17.159,16.124,16.289,33462,37526
03/05/2007,17:00,16.344,16.364,15.799,16.049,29402,28508
03/06/2007,17:00,16.074,16.374,15.979,16.309,19361,16921
03/07/2007,17:00,16.329,16.454,16.199,16.389,16555,14961
03/08/2007,17:00,16.369,16.544,16.324,16.374,14088,14354
03/09/2007,17:00,16.379,16.504,16.104,16.324,14492,14027
03/12/2007,17:00,16.314,16.469,16.229,16.399,10690,11309
03/13/2007,17:00,16.439,16.439,16.129,16.164,14793,16982
03/14/2007,17:00,16.159,16.254,15.984,16.244,16898,17513
03/15/2007,17:00,16.239,16.499,16.224,16.379,14904,13817
03/16/2007,17:00,16.384,16.579,16.364,16.534,12273,11520
03/19/2007,17:00,16.484,16.604,16.424,16.559,8131,7846
03/20/2007,17:00,16.559,16.794,16.529,16.689,12071,10822
03/21/2007,17:00,16.679,16.754,16.519,16.739,12351,12120
03/22/2007,17:00,16.754,16.884,16.719,16.824,14052,11949
03/23/2007,17:00,16.809,16.809,16.484,16.524,14314,16596
03/26/2007,17:00,16.539,16.769,16.539,16.744,8606,8497
03/27/2007,17:00,16.734,16.789,16.539,16.649,9991,9590
03/28/2007,17:00,16.674,16.854,16.639,16.719,12905,11824
03/29/2007,17:00,16.739,16.739,16.489,16.669,13981,14074
03/30/2007,17:00,16.639,16.784,16.634,16.749,10202,9045
04/02/2007,17:00,16.769,16.804,16.339,16.634,20839,19342
04/03/2007,17:00,16.624,16.849,16.584,16.744,15485,15122
04/04/2007,17:00,16.729,17.009,16.729,16.969,18093,18564
04/05/2007,17:00,16.989,17.079,16.914,17.059,9683,9358
04/09/2007,17:00,17.024,17.229,16.984,17.089,10721,9266
04/10/2007,17:00,17.079,17.359,17.064,17.219,13607,12476
04/11/2007,17:00,17.229,17.374,17.069,17.184,15387,14632
04/12/2007,17:00,17.194,17.284,17.004,17.219,15171,16321
04/13/2007,17:00,17.194,17.479,17.179,17.404,14074,13404
04/16/2007,17:00,17.399,17.469,17.144,17.399,14785,14456
04/17/2007,17:00,17.374,17.419,17.209,17.229,9968,11706
04/18/2007,17:00,17.239,17.399,17.189,17.299,12338,11807
04/19/2007,17:00,17.309,17.369,16.859,16.994,18605,20871
04/20/2007,17:00,17.009,17.319,16.999,17.259,11903,11249
04/23/2007,17:00,17.265,17.415,17.165,17.325,1617,1292
04/24/2007,17:00,17.365,17.395,17.020,17.100,1364,1612
04/25/2007,17:00,17.055,17.200,17.045,17.130,2174,2406
04/26/2007,17:00,17.120,17.145,16.480,16.625,6248,8857
04/27/2007,17:00,16.630,16.865,16.540,16.840,12957,11362
04/30/2007,17:00,16.840,16.860,16.660,16.700,9420,9220
