"Date","Time","Open","High","Low","Close","Up","Down"
01/02/2007,13:20,-28.250,-26.750,-30.250,-26.750,538,305
01/03/2007,13:20,-27.750,-27.250,-42.500,-42.250,11170,13678
01/04/2007,13:20,-45.250,-36.000,-51.250,-47.500,14593,16379
01/05/2007,13:20,-46.500,-41.750,-53.250,-42.750,11126,11774
01/08/2007,13:20,-40.750,-39.750,-49.250,-47.000,8885,9391
01/09/2007,13:20,-50.000,-49.000,-62.000,-59.250,13322,15850
01/10/2007,13:20,-61.000,-54.000,-66.250,-58.750,15631,16047
01/11/2007,13:20,-56.250,-46.000,-56.250,-49.000,14012,13691
01/12/2007,13:20,-51.000,-0.250,-53.000,-3.750,22721,23491
01/16/2007,13:20,-10.750,-2.750,-18.250,-14.250,22262,22422
01/17/2007,13:20,-14.250,3.000,-14.500,-1.000,24563,23666
01/18/2007,13:20,6.250,8.250,-10.250,-7.750,17731,20442
01/19/2007,13:20,-8.250,0.000,-11.250,-5.000,15601,15963
01/22/2007,13:20,-15.750,0.000,-15.750,-6.750,14218,13666
01/23/2007,13:20,-7.000,3.750,-7.250,3.500,13716,13024
01/24/2007,13:20,4.000,4.750,-11.000,-8.500,14570,17210
01/25/2007,13:20,-7.250,-1.750,-16.500,-10.000,14440,15877
01/26/2007,13:20,-10.500,-9.500,-15.250,-13.250,9805,10255
01/29/2007,13:20,-10.000,-9.250,-19.250,-14.500,15928,17113
01/30/2007,13:20,-12.750,-1.750,-17.250,-2.500,17894,14950
01/31/2007,13:20,-3.750,5.250,-6.500,-4.000,14880,13190
02/01/2007,13:20,-4.500,5.750,-4.750,-1.750,17574,16438
02/02/2007,13:20,-4.250,14.000,-5.250,13.500,20252,14765
02/05/2007,13:20,23.250,23.750,10.750,15.750,15167,15672
02/06/2007,13:20,14.250,23.000,14.250,15.250,19772,18967
02/07/2007,13:20,15.750,24.500,13.250,18.000,20231,20611
02/08/2007,13:20,15.750,23.000,13.500,20.750,14230,14427
02/09/2007,13:20,23.750,33.250,10.000,25.500,28447,27800
02/12/2007,13:20,26.750,27.750,17.250,22.250,12756,12515
02/13/2007,13:20,21.000,32.000,19.500,30.750,15785,11657
02/14/2007,13:20,31.250,33.750,24.750,27.250,14046,15230
02/15/2007,13:20,28.750,35.750,27.500,35.250,17720,17721
02/16/2007,13:20,33.500,44.750,30.500,43.000,17431,15347
02/20/2007,13:20,42.750,48.500,38.750,47.750,6841,6442
02/21/2007,13:20,47.500,64.500,41.000,57.250,7908,7343
02/22/2007,13:20,57.250,67.250,56.750,59.250,3226,3461
02/23/2007,13:20,58.750,63.000,51.500,53.500,2154,2737
02/26/2007,13:20,53.750,66.000,53.500,55.500,1680,1375
02/27/2007,13:20,54.500,55.750,32.250,39.500,1127,1542
02/28/2007,13:20,18.250,34.500,18.250,33.250,540,337
03/01/2007,13:20,48.000,50.000,15.750,23.750,31954,36023
03/02/2007,13:20,22.000,25.250,11.000,14.500,18247,20415
03/05/2007,13:20,10.000,12.750,0.000,11.500,25841,25133
03/06/2007,13:20,11.250,16.750,6.000,8.000,18905,17845
03/07/2007,13:20,9.000,24.000,6.500,19.000,25073,20488
03/08/2007,13:20,16.500,26.500,16.250,20.500,16053,15847
03/09/2007,13:20,20.500,23.000,10.750,20.750,17435,18267
03/12/2007,13:20,21.000,30.000,17.750,26.500,19835,17721
03/13/2007,13:20,26.000,31.750,16.250,16.750,18862,20340
03/14/2007,13:20,16.750,17.750,6.750,14.000,16584,18445
03/15/2007,13:20,18.000,20.000,9.750,11.750,11846,12810
03/16/2007,13:20,11.000,19.500,5.750,14.000,22522,22052
