"Date","Time","Open","High","Low","Close","Up","Down"
01/02/2007,13:20,1380.500,1382.250,1374.000,1375.750,226,540
01/03/2007,13:20,1375.750,1376.250,1360.000,1360.500,10864,12202
01/04/2007,13:20,1360.750,1363.250,1348.250,1351.500,8842,10826
01/05/2007,13:20,1353.000,1354.500,1345.750,1353.500,6970,6342
01/08/2007,13:20,1353.250,1354.500,1339.250,1347.750,6991,8716
01/09/2007,13:20,1344.500,1347.250,1336.750,1337.250,8330,9762
01/10/2007,13:20,1336.250,1341.250,1331.500,1334.000,12177,12996
01/11/2007,13:20,1335.500,1348.250,1335.500,1342.000,10309,9312
01/12/2007,13:20,1342.250,1370.250,1341.500,1367.750,9169,7102
01/16/2007,13:20,1360.500,1368.250,1347.250,1348.250,11681,12592
01/17/2007,13:20,1347.500,1363.750,1347.500,1359.250,9899,8812
01/18/2007,13:20,1365.250,1368.500,1350.500,1354.750,8920,9422
01/19/2007,13:20,1355.250,1356.750,1348.250,1350.750,6680,6534
01/22/2007,13:20,1348.750,1354.250,1347.750,1349.750,5971,5488
01/23/2007,13:20,1351.000,1364.500,1350.750,1363.500,9084,8932
01/24/2007,13:20,1365.250,1365.250,1347.250,1349.750,9302,10500
01/25/2007,13:20,1353.000,1356.250,1345.000,1353.250,7277,7513
01/26/2007,13:20,1354.000,1354.250,1346.000,1347.250,4501,5081
01/29/2007,13:20,1349.000,1350.000,1339.500,1340.750,6177,6676
01/30/2007,13:20,1340.500,1345.000,1337.250,1343.000,7456,5684
01/31/2007,13:20,1343.500,1353.250,1343.250,1351.250,7848,6942
02/01/2007,13:20,1352.000,1355.500,1343.250,1344.750,6696,8038
02/02/2007,13:20,1341.250,1348.250,1339.500,1346.000,5236,5204
02/05/2007,13:20,1348.750,1349.500,1342.250,1342.250,3975,4399
02/06/2007,13:20,1340.750,1344.250,1334.250,1334.750,7298,8217
02/07/2007,13:20,1336.250,1339.250,1333.000,1336.250,6453,7469
02/08/2007,13:20,1336.500,1343.750,1335.500,1342.250,6038,5649
02/09/2007,13:20,1343.750,1354.250,1341.000,1345.750,10648,11217
02/12/2007,13:20,1345.750,1347.750,1338.250,1340.000,6126,7608
02/13/2007,13:20,1339.750,1345.000,1339.750,1344.750,5568,4723
02/14/2007,13:20,1344.500,1344.750,1332.000,1334.750,5944,7176
02/15/2007,13:20,1337.500,1339.750,1331.500,1336.500,3786,3506
02/16/2007,13:20,1337.750,1353.750,1335.500,1351.500,6509,5006
02/20/2007,13:20,1351.000,1353.250,1346.500,1348.250,1565,1837
02/21/2007,13:20,1349.250,1363.000,1346.500,1360.250,3238,3081
02/22/2007,13:20,1362.750,1374.250,1361.750,1371.750,3814,3124
02/23/2007,13:20,1371.250,1373.000,1367.500,1368.500,1276,1801
02/26/2007,13:20,1368.250,1377.750,1365.750,1366.250,1651,1458
02/27/2007,13:20,1365.750,1366.500,1361.500,1361.750,111,203
02/28/2007,13:20,1351.000,1359.500,1349.250,1357.250,11724,10476
03/01/2007,13:20,1359.750,1361.750,1339.750,1349.500,11827,14343
03/02/2007,13:20,1346.750,1355.250,1342.500,1345.250,6461,8077
03/05/2007,13:20,1342.250,1352.250,1334.000,1351.750,8882,8955
03/06/2007,13:20,1351.750,1354.250,1342.500,1343.750,5962,7172
03/07/2007,13:20,1343.500,1350.250,1341.750,1347.750,6806,4877
03/08/2007,13:20,1346.750,1353.750,1344.750,1346.250,5648,6319
03/09/2007,13:20,1346.750,1352.250,1343.000,1347.000,7707,6132
03/12/2007,13:20,1347.250,1347.500,1340.000,1341.250,5751,6062
03/13/2007,13:20,1341.250,1343.250,1336.000,1337.250,8323,10149
03/14/2007,13:20,1337.250,1338.250,1326.750,1333.500,10811,12292
03/15/2007,13:20,1337.000,1338.500,1326.000,1327.000,9995,10263
03/16/2007,13:20,1326.000,1337.000,1322.500,1331.500,9536,10364
03/19/2007,13:20,1334.250,1335.500,1322.500,1326.000,8908,9815
03/20/2007,13:20,1326.500,1334.250,1324.000,1333.000,8318,6511
03/21/2007,13:20,1335.750,1340.250,1330.500,1337.250,8417,6362
03/22/2007,13:20,1336.000,1339.750,1331.500,1337.250,6447,5436
03/23/2007,13:20,1337.500,1338.750,1331.250,1332.000,4515,6277
03/26/2007,13:20,1332.750,1334.250,1321.750,1328.500,7078,7888
03/27/2007,13:20,1328.250,1330.250,1322.250,1324.500,6998,6788
03/28/2007,13:20,1325.750,1329.250,1322.750,1328.000,6340,5428
03/29/2007,13:20,1326.750,1339.500,1325.750,1331.750,7730,8771
