"Date","Time","Open","High","Low","Close","Vol","OI"
01/03/2000,16:00,3.75,4.02,3.63,4.00,135237200,0
01/04/2000,16:00,3.87,3.95,3.61,3.66,126666400,0
01/05/2000,16:00,3.71,3.95,3.68,3.71,194448800,0
01/06/2000,16:00,3.79,3.82,3.39,3.39,191996000,0
01/07/2000,16:00,3.45,3.61,3.41,3.55,115248000,0
01/10/2000,16:00,3.64,3.65,3.38,3.49,126266000,0
01/11/2000,16:00,3.43,3.55,3.23,3.31,110244400,0
01/12/2000,16:00,3.39,3.41,3.09,3.11,243972400,0
01/13/2000,16:00,3.37,3.53,3.30,3.46,258834800,0
01/14/2000,16:00,3.57,3.65,3.55,3.59,97582800,0
01/18/2000,16:00,3.61,3.79,3.59,3.71,114794400,0
01/19/2000,16:00,3.77,3.88,3.69,3.81,148691200,0
01/20/2000,16:00,4.13,4.34,4.05,4.05,457528400,0
01/21/2000,16:00,4.08,4.08,3.94,3.98,124334000,0
01/24/2000,16:00,3.87,4.03,3.75,3.79,110238800,0
01/25/2000,16:00,3.75,4.04,3.66,4.01,124300400,0
01/26/2000,16:00,3.93,4.08,3.92,3.94,91730800,0
01/27/2000,16:00,3.89,4.04,3.82,3.93,85036000,0
01/28/2000,16:00,3.86,3.96,3.59,3.63,105778400,0
01/31/2000,16:00,3.61,3.71,3.38,3.71,175574000,0
02/01/2000,16:00,3.71,3.75,3.57,3.58,79410800,0
02/02/2000,16:00,3.60,3.65,3.46,3.53,116048800,0
02/03/2000,16:00,3.58,3.72,3.58,3.69,118795600,0
02/04/2000,16:00,3.71,3.93,3.70,3.86,106330000,0
02/07/2000,16:00,3.86,4.08,3.78,4.07,110264000,0
02/08/2000,16:00,4.07,4.15,3.97,4.10,102160800,0
02/09/2000,16:00,4.08,4.18,4.02,4.02,75121200,0
02/10/2000,16:00,4.03,4.07,3.86,4.05,75745600,0
02/11/2000,16:00,4.06,4.08,3.87,3.88,53222400,0
02/14/2000,16:00,3.90,4.14,3.88,4.14,91887600,0
02/15/2000,16:00,4.12,4.28,4.11,4.25,121444400,0
02/16/2000,16:00,4.21,4.22,4.00,4.08,94570000,0
02/17/2000,16:00,4.11,4.13,4.04,4.10,72772000,0
02/18/2000,16:00,4.09,4.12,3.96,3.97,58640400,0
02/22/2000,16:00,3.93,4.18,3.81,4.06,105576800,0
02/23/2000,16:00,4.04,4.25,3.96,4.15,118694800,0
02/24/2000,16:00,4.19,4.25,3.99,4.11,94108000,0
02/25/2000,16:00,4.10,4.18,3.93,3.94,62286000,0
02/28/2000,16:00,3.93,4.11,3.87,4.04,80746400,0
02/29/2000,16:00,4.06,4.19,4.02,4.09,92803200,0
03/01/2000,16:00,4.23,4.72,4.23,4.65,269334800,0
03/02/2000,16:00,4.54,4.57,4.31,4.36,77840000,0
03/03/2000,16:00,4.46,4.58,4.29,4.57,80925600,0
03/06/2000,16:00,4.50,4.61,4.46,4.49,52886400,0
03/07/2000,16:00,4.52,4.55,4.33,4.39,68675600,0
03/08/2000,16:00,4.39,4.43,4.23,4.36,68224800,0
03/09/2000,16:00,4.32,4.46,4.22,4.37,69157200,0
03/10/2000,16:00,4.35,4.57,4.32,4.49,62137600,0
03/13/2000,16:00,4.36,4.52,4.27,4.33,76188000,0
