"Date","Time","Open","High","Low","Close","Vol","OI"
01/03/2000,16:00,29.13,29.94,28.75,29.88,8284800,0
01/04/2000,16:00,30.06,31.88,30.00,31.69,15829000,0
01/05/2000,16:00,32.13,33.13,31.63,32.94,19576800,0
01/06/2000,16:00,33.00,33.13,31.63,31.63,7796500,0
01/07/2000,16:00,32.00,32.13,30.81,31.13,6661400,0
01/10/2000,16:00,35.00,36.19,34.00,35.94,33510200,0
01/11/2000,16:00,35.56,36.75,35.19,36.25,19863000,0
01/12/2000,16:00,35.88,35.94,33.31,33.69,12924100,0
01/13/2000,16:00,34.44,35.00,33.81,34.81,8614500,0
01/14/2000,16:00,34.81,35.00,33.44,33.56,8041500,0
01/18/2000,16:00,33.75,34.81,33.06,34.50,7992400,0
01/19/2000,16:00,34.31,34.94,34.06,34.75,6462900,0
01/20/2000,16:00,35.00,35.44,33.44,33.63,7109700,0
01/21/2000,16:00,33.56,33.63,32.69,32.75,8172300,0
01/24/2000,16:00,33.00,34.25,32.38,33.31,8230400,0
01/25/2000,16:00,38.00,38.00,36.50,37.50,29507800,0
01/26/2000,16:00,37.44,37.44,36.38,36.63,10260300,0
01/27/2000,16:00,36.88,37.63,36.63,37.13,9686500,0
01/28/2000,16:00,36.81,37.50,36.44,36.75,7399700,0
01/31/2000,16:00,36.06,36.44,35.00,36.31,7747900,0
02/01/2000,16:00,36.00,36.44,35.94,36.00,7139500,0
02/02/2000,16:00,35.94,38.00,35.81,37.25,9284300,0
02/03/2000,16:00,37.63,38.50,37.56,37.88,10761300,0
02/04/2000,16:00,38.00,38.25,37.00,38.13,6188500,0
02/07/2000,16:00,38.00,38.44,37.56,38.00,6070500,0
02/08/2000,16:00,37.63,37.94,37.00,37.56,5702400,0
02/09/2000,16:00,37.31,39.00,37.13,37.69,6080400,0
02/10/2000,16:00,36.88,37.88,36.88,36.94,5599300,0
02/11/2000,16:00,37.06,38.63,36.81,37.88,7149800,0
02/14/2000,16:00,37.00,37.38,36.63,37.00,5132000,0
02/15/2000,16:00,36.56,37.19,35.38,36.88,6987100,0
02/16/2000,16:00,36.56,37.25,36.56,36.94,4414800,0
02/17/2000,16:00,36.69,36.88,35.69,36.50,4692200,0
02/18/2000,16:00,36.38,36.38,35.31,35.50,6406800,0
02/22/2000,16:00,35.31,35.44,32.63,33.38,12872100,0
02/23/2000,16:00,33.50,34.63,32.63,34.13,8259100,0
02/24/2000,16:00,34.00,34.06,32.44,32.73,9041500,0
02/25/2000,16:00,32.88,33.06,31.00,31.00,8327200,0
02/28/2000,16:00,32.31,32.94,32.00,32.75,7836400,0
02/29/2000,16:00,32.50,33.69,32.25,33.50,5431900,0
03/01/2000,16:00,33.81,34.75,33.19,34.69,7152700,0
03/02/2000,16:00,34.44,34.63,33.81,34.50,6499300,0
03/03/2000,16:00,36.38,36.38,34.88,36.13,14363500,0
03/06/2000,16:00,35.88,36.75,35.56,36.00,7241900,0
03/07/2000,16:00,36.38,36.38,35.44,36.00,7479100,0
03/08/2000,16:00,35.88,35.94,34.88,34.94,6209600,0
03/09/2000,16:00,35.13,36.25,34.63,36.25,5547100,0
03/10/2000,16:00,35.50,35.75,34.69,35.13,6966600,0
03/13/2000,16:00,33.13,34.94,33.00,34.94,5176300,0
03/14/2000,16:00,34.75,34.75,33.81,34.13,5514100,0
03/15/2000,16:00,34.00,34.94,33.63,34.81,6553300,0
03/16/2000,16:00,35.00,35.50,33.75,35.31,8222600,0
03/17/2000,16:00,34.75,36.94,34.56,36.50,8635300,0
03/20/2000,16:00,37.81,39.50,37.69,39.44,16756500,0
03/21/2000,16:00,39.50,40.06,38.63,39.19,13149600,0
03/22/2000,16:00,39.94,41.44,39.75,40.50,13540600,0
03/23/2000,16:00,39.88,41.94,39.81,41.56,7890000,0
03/24/2000,16:00,41.50,41.75,41.06,41.44,6540900,0
03/27/2000,16:00,41.50,42.19,40.00,41.75,5719400,0
03/28/2000,16:00,41.25,42.50,40.63,40.94,7490100,0
03/29/2000,16:00,41.00,41.19,40.25,40.81,5168000,0
03/30/2000,16:00,40.00,41.00,39.75,40.25,5345500,0
03/31/2000,16:00,41.50,41.50,40.25,41.25,5285900,0
04/03/2000,16:00,41.44,41.88,41.06,41.81,4804900,0
04/04/2000,16:00,41.75,41.94,38.38,41.13,6954800,0
04/05/2000,16:00,40.13,40.75,39.25,40.00,5005500,0
04/06/2000,16:00,40.38,41.25,40.00,40.44,3566700,0
04/07/2000,16:00,40.94,41.38,40.50,41.00,3253500,0
04/10/2000,16:00,40.75,41.38,40.25,41.31,3616400,0
04/11/2000,16:00,41.94,42.50,41.75,42.50,6829900,0
04/12/2000,16:00,42.63,43.63,40.00,40.06,8300700,0
04/13/2000,16:00,40.75,40.75,39.25,39.25,5009900,0
04/14/2000,16:00,38.75,39.50,37.69,38.88,8136900,0
04/17/2000,16:00,37.50,38.75,37.06,38.75,6449000,0
04/18/2000,16:00,38.50,39.75,38.06,39.31,2950500,0
04/19/2000,16:00,40.69,41.50,40.00,40.94,8463300,0
04/20/2000,16:00,41.13,42.50,40.81,42.25,5365400,0
04/24/2000,16:00,41.13,41.44,40.13,40.25,3791900,0
04/25/2000,16:00,40.56,40.56,39.69,40.50,3698800,0
04/26/2000,16:00,41.00,42.50,40.75,42.38,5921600,0
04/27/2000,16:00,41.00,42.25,40.88,41.63,4611700,0
04/28/2000,16:00,42.50,43.63,42.25,43.63,11572900,0
05/01/2000,16:00,43.56,43.88,42.00,42.00,8798800,0
05/02/2000,16:00,41.50,43.06,40.31,43.00,9171100,0
05/03/2000,16:00,41.06,42.00,39.63,41.25,6424600,0
05/04/2000,16:00,41.88,41.94,37.50,39.69,7031200,0
05/05/2000,16:00,39.63,40.44,39.25,39.56,3424500,0
05/08/2000,16:00,39.63,41.13,39.56,40.56,3533900,0
05/09/2000,16:00,40.81,41.63,39.75,40.75,3361100,0
05/10/2000,16:00,40.63,41.75,40.50,41.06,6283900,0
05/11/2000,16:00,41.13,41.38,40.56,41.13,3289500,0
05/12/2000,16:00,41.06,41.38,40.06,40.81,3062700,0
05/15/2000,16:00,40.69,41.13,40.19,40.81,3839500,0
05/16/2000,16:00,41.44,42.63,41.25,42.19,5858600,0
05/17/2000,16:00,42.44,42.88,42.06,42.25,4034600,0
05/18/2000,16:00,42.50,42.81,41.00,41.19,4334300,0
05/19/2000,16:00,40.00,41.25,39.75,41.06,4399800,0
05/22/2000,16:00,41.19,41.50,39.00,40.88,4144300,0
05/23/2000,16:00,39.75,40.69,39.75,40.31,4167300,0
05/24/2000,16:00,40.00,40.81,38.19,39.31,4347900,0
05/25/2000,16:00,39.31,40.44,39.06,39.81,3866100,0
05/26/2000,16:00,39.94,40.19,39.25,39.88,3322700,0
05/30/2000,16:00,40.88,42.00,40.63,41.88,7247600,0
05/31/2000,16:00,41.94,43.19,41.63,42.19,5111700,0
06/01/2000,16:00,42.44,42.56,41.13,41.75,3845900,0
06/02/2000,16:00,41.94,42.00,40.25,40.44,5758100,0
06/05/2000,16:00,40.50,41.00,40.00,40.63,4162000,0
06/06/2000,16:00,40.50,41.56,40.44,40.88,3790100,0
06/07/2000,16:00,40.81,40.94,40.13,40.19,3328100,0
06/08/2000,16:00,40.44,41.13,40.13,40.44,3031900,0
06/09/2000,16:00,40.50,42.00,40.50,41.56,3963300,0
06/12/2000,16:00,41.31,41.69,40.38,40.71,3427600,0
06/13/2000,16:00,41.50,41.50,40.19,40.19,4928500,0
06/14/2000,16:00,40.75,41.06,40.44,40.75,2901400,0
06/15/2000,16:00,41.00,42.00,40.88,41.00,4154600,0
06/16/2000,16:00,42.00,42.25,41.06,41.19,4906400,0
06/19/2000,16:00,41.31,42.00,41.13,41.94,2675400,0
06/20/2000,16:00,41.94,42.06,41.56,41.75,3251400,0
06/21/2000,16:00,41.50,42.06,41.50,41.75,2892700,0
06/22/2000,16:00,41.75,41.81,41.06,41.50,2825700,0
06/23/2000,16:00,41.25,41.31,39.38,39.63,5444600,0
06/26/2000,16:00,39.81,40.50,39.56,40.50,3770400,0
06/27/2000,16:00,40.50,40.50,39.56,40.00,3331200,0
06/28/2000,16:00,40.00,40.19,38.63,39.16,3122600,0
06/29/2000,16:00,38.63,40.13,38.06,39.50,4736900,0
06/30/2000,16:00,38.88,39.44,37.75,38.81,6521300,0
07/03/2000,16:00,38.13,38.69,38.00,38.56,2292200,0
07/05/2000,16:00,38.75,38.88,37.88,38.06,4154500,0
07/06/2000,16:00,38.44,39.19,37.44,37.50,3820800,0
07/07/2000,16:00,36.75,38.13,36.50,38.00,9198100,0
07/10/2000,16:00,37.50,38.44,37.44,37.81,4069500,0
07/11/2000,16:00,37.50,37.75,36.00,36.00,3782900,0
07/12/2000,16:00,37.81,38.13,36.06,36.06,4097200,0
07/13/2000,16:00,37.50,37.69,36.25,36.94,4552500,0
07/14/2000,16:00,36.38,37.50,36.25,37.44,4055000,0
07/17/2000,16:00,37.44,37.44,36.13,36.56,4393800,0
07/18/2000,16:00,36.13,36.19,35.38,35.75,4634000,0
07/19/2000,16:00,36.88,37.56,36.44,37.00,5916700,0
07/20/2000,16:00,37.81,39.31,37.50,38.63,5399000,0
07/21/2000,16:00,38.69,38.69,37.19,37.44,3732300,0
07/24/2000,16:00,37.06,37.25,36.56,36.69,2472600,0
07/25/2000,16:00,36.63,37.63,36.31,37.44,3464500,0
07/26/2000,16:00,37.38,38.25,37.06,38.06,2448600,0
07/27/2000,16:00,38.19,38.50,37.56,38.00,2697100,0
07/28/2000,16:00,37.63,38.19,37.19,37.88,2478800,0
07/31/2000,16:00,38.00,38.75,38.00,38.69,4123300,0
08/01/2000,16:00,39.44,40.31,39.31,40.13,8238400,0
08/02/2000,16:00,40.13,40.19,39.56,40.13,4549800,0
08/03/2000,16:00,39.75,40.81,39.44,40.75,3003000,0
08/04/2000,16:00,40.94,42.81,40.94,42.44,14756900,0
08/07/2000,16:00,42.00,42.00,40.56,41.06,6045100,0
08/08/2000,16:00,41.88,42.13,41.31,41.94,4954700,0
08/09/2000,16:00,41.50,41.75,40.31,40.50,2964100,0
08/10/2000,16:00,40.50,40.75,39.63,40.38,2375600,0
08/11/2000,16:00,40.75,41.38,40.50,40.88,2809500,0
08/14/2000,16:00,41.00,41.00,40.38,40.88,1671500,0
08/15/2000,16:00,40.88,41.13,40.00,40.25,2877000,0
08/16/2000,16:00,40.31,40.38,39.25,39.88,2610200,0
08/17/2000,16:00,39.81,40.19,39.31,40.19,2325400,0
08/18/2000,16:00,40.00,40.00,38.75,39.13,4483600,0
08/21/2000,16:00,38.88,39.25,38.13,38.44,3027600,0
08/22/2000,16:00,38.44,38.44,37.69,37.94,3655200,0
08/23/2000,16:00,38.19,38.38,37.50,37.63,3260100,0
