"Date","Time","Open","High","Low","Close","Vol","OI"
01/03/2000,16:00,51.00,51.23,49.73,50.00,22055920,0
01/04/2000,16:00,49.08,49.33,48.02,48.06,22062520,0
01/05/2000,16:00,47.92,49.00,47.52,47.92,27312273,0
01/06/2000,16:00,47.71,48.98,47.54,48.56,19875798,0
01/07/2000,16:00,49.33,50.62,49.00,50.44,20139801,0
01/10/2000,16:00,50.90,51.35,50.37,50.42,15226052,0
01/11/2000,16:00,50.33,50.90,50.21,50.50,15123151,0
01/12/2000,16:00,50.35,51.08,50.19,50.67,18346083,0
01/13/2000,16:00,51.04,51.65,51.00,51.25,14953649,0
01/14/2000,16:00,51.12,51.54,49.85,50.33,18480484,0
01/18/2000,16:00,49.87,49.87,48.92,49.33,18383883,0
01/19/2000,16:00,48.83,50.31,48.75,49.57,14850748,0
01/20/2000,16:00,49.69,49.92,47.42,48.65,30466804,0
01/21/2000,16:00,49.31,49.42,47.98,48.04,23999339,0
01/24/2000,16:00,48.44,48.65,45.48,46.04,27119371,0
01/25/2000,16:00,46.02,46.79,45.67,46.17,25388353,0
01/26/2000,16:00,46.83,47.40,46.29,47.15,15856958,0
01/27/2000,16:00,47.19,47.25,45.69,47.25,19243692,0
01/28/2000,16:00,46.77,46.83,44.54,44.67,29849998,0
01/31/2000,16:00,44.67,45.31,44.35,44.67,21784417,0
02/01/2000,16:00,44.75,45.67,44.67,45.33,27333273,0
02/02/2000,16:00,45.71,45.87,44.69,44.69,21820418,0
02/03/2000,16:00,45.31,46.60,45.08,46.42,20454804,0
02/04/2000,16:00,47.00,47.71,46.83,47.19,18167281,0
02/07/2000,16:00,47.23,47.25,45.29,45.50,18285182,0
02/08/2000,16:00,45.52,46.15,45.50,45.69,18695286,0
02/09/2000,16:00,45.67,45.90,44.69,44.69,16024060,0
02/10/2000,16:00,44.85,45.65,44.37,45.15,19167791,0
02/11/2000,16:00,45.02,45.77,44.52,44.58,20552605,0
02/14/2000,16:00,44.58,45.31,44.52,44.79,14540545,0
02/15/2000,16:00,44.67,46.33,44.65,45.83,18823688,0
02/16/2000,16:00,45.54,45.65,44.79,45.22,14530945,0
02/17/2000,16:00,44.96,45.21,43.33,43.67,28935289,0
02/18/2000,16:00,43.67,43.98,41.65,41.71,35333453,0
02/22/2000,16:00,42.08,43.33,41.69,43.21,27232172,0
02/23/2000,16:00,43.33,44.31,42.79,43.17,21958419,0
02/24/2000,16:00,43.44,44.31,42.02,43.67,31120511,0
02/25/2000,16:00,43.17,43.65,41.90,42.04,26645666,0
02/28/2000,16:00,42.00,44.08,42.00,43.15,27052770,0
02/29/2000,16:00,43.54,44.67,43.37,44.12,22577025,0
03/01/2000,16:00,44.50,44.62,43.58,43.79,26690366,0
03/02/2000,16:00,43.79,45.37,43.62,44.40,19972099,0
03/03/2000,16:00,45.75,46.83,45.69,46.46,23762637,0
03/06/2000,16:00,46.50,46.50,44.87,45.81,18499084,0
03/07/2000,16:00,45.79,45.79,43.21,43.31,29629796,0
03/08/2000,16:00,43.42,44.15,43.02,43.44,23910839,0
03/09/2000,16:00,43.44,44.00,42.40,43.00,18901389,0
03/10/2000,16:00,43.62,44.69,43.33,43.90,20692706,0
03/13/2000,16:00,43.00,43.50,42.54,43.15,19276092,0
03/14/2000,16:00,43.21,43.25,42.27,42.33,19070590,0
03/15/2000,16:00,42.29,45.00,42.08,45.00,25911559,0
03/16/2000,16:00,44.56,46.48,44.50,46.33,30005100,0
03/17/2000,16:00,46.04,47.15,45.71,46.62,31878318,0
03/20/2000,16:00,46.62,47.25,45.87,46.98,15596555,0
03/21/2000,16:00,46.25,50.48,46.02,50.17,37147571,0
03/22/2000,16:00,50.17,50.65,49.54,50.29,21711817,0
03/23/2000,16:00,50.50,53.33,50.31,53.33,30637206,0
03/24/2000,16:00,52.54,53.25,51.98,53.02,23094830,0
03/27/2000,16:00,52.58,52.92,52.08,52.65,16407764,0
03/28/2000,16:00,52.25,52.87,52.00,52.00,21877418,0
03/29/2000,16:00,52.46,54.96,52.46,54.33,39198091,0
03/30/2000,16:00,54.00,54.17,52.52,52.92,24967449,0
03/31/2000,16:00,53.08,53.29,51.58,51.87,23431434,0
04/03/2000,16:00,51.75,53.67,51.67,53.67,19182491,0
04/04/2000,16:00,52.85,52.96,49.04,51.33,33030330,0
04/05/2000,16:00,50.71,51.67,50.23,51.06,18971889,0
04/06/2000,16:00,51.37,52.56,51.35,52.29,13761437,0
04/07/2000,16:00,52.54,53.27,52.06,52.94,13326733,0
04/10/2000,16:00,53.12,53.67,52.62,53.15,14234542,0
04/11/2000,16:00,52.77,54.62,52.54,53.87,21002610,0
04/12/2000,16:00,54.21,54.42,52.00,52.25,19445594,0
04/13/2000,16:00,52.46,52.48,50.00,50.17,25493954,0
04/14/2000,16:00,49.33,50.04,47.35,48.58,31648816,0
04/17/2000,16:00,48.12,51.08,47.96,50.67,31952419,0
04/18/2000,16:00,50.94,52.62,50.65,52.27,17534575,0
04/19/2000,16:00,52.02,52.27,51.37,51.83,14147841,0
04/20/2000,16:00,52.02,52.83,51.83,52.83,17056970,0
04/24/2000,16:00,52.33,54.65,52.10,54.02,24011940,0
04/25/2000,16:00,54.08,55.44,53.62,55.33,22856328,0
04/26/2000,16:00,55.37,55.98,53.77,54.42,21333513,0
04/27/2000,16:00,53.50,53.98,52.73,53.83,20227402,0
04/28/2000,16:00,53.79,54.00,52.19,52.42,14134041,0
05/01/2000,16:00,53.00,54.00,52.58,53.12,12485524,0
05/02/2000,16:00,53.00,53.94,52.73,53.69,12725227,0
05/03/2000,16:00,53.17,53.33,51.52,52.02,16594965,0
05/04/2000,16:00,52.48,52.50,50.92,51.33,15411154,0
05/05/2000,16:00,51.33,53.33,51.17,52.67,20683406,0
05/08/2000,16:00,52.13,52.88,51.63,52.44,11665500,0
05/09/2000,16:00,52.38,52.69,50.88,52.13,13439100,0
05/10/2000,16:00,51.50,52.06,50.06,50.63,15055900,0
05/11/2000,16:00,51.50,52.38,50.75,50.94,13437300,0
05/12/2000,16:00,50.81,52.63,50.69,52.25,10713800,0
05/15/2000,16:00,52.31,54.44,52.25,54.00,13554800,0
05/16/2000,16:00,54.81,55.94,54.00,54.25,16931900,0
05/17/2000,16:00,53.75,54.38,53.13,53.63,11294900,0
05/18/2000,16:00,53.50,54.38,52.88,53.13,12866900,0
05/19/2000,16:00,52.13,52.69,51.00,51.88,12891800,0
05/22/2000,16:00,51.88,51.88,48.75,50.00,16758200,0
05/23/2000,16:00,49.19,50.00,48.94,50.00,12092000,0
05/24/2000,16:00,49.00,51.25,49.00,50.75,14942600,0
05/25/2000,16:00,50.75,51.81,49.75,50.75,11438500,0
05/26/2000,16:00,50.44,50.94,49.31,49.56,8866300,0
05/30/2000,16:00,49.81,51.50,49.38,51.25,12963000,0
05/31/2000,16:00,51.75,53.31,51.50,52.63,14465100,0
06/01/2000,16:00,52.06,53.38,50.75,52.38,12817600,0
06/02/2000,16:00,53.31,54.00,51.75,52.75,12014700,0
06/05/2000,16:00,52.00,52.25,51.06,51.56,9592300,0
06/06/2000,16:00,51.50,51.81,50.56,51.19,7964800,0
06/07/2000,16:00,51.13,52.44,51.00,51.38,9975600,0
06/08/2000,16:00,51.50,51.63,50.50,50.88,8691800,0
06/09/2000,16:00,51.06,51.25,49.25,49.88,10962900,0
06/12/2000,16:00,50.00,50.13,48.44,49.88,12246200,0
06/13/2000,16:00,50.00,51.81,49.75,51.19,13378700,0
06/14/2000,16:00,51.25,51.81,50.31,51.00,10300400,0
06/15/2000,16:00,50.50,52.00,50.00,50.00,11908000,0
06/16/2000,16:00,52.00,52.19,51.05,51.13,18995100,0
06/19/2000,16:00,50.81,51.75,50.00,50.25,9807400,0
06/20/2000,16:00,51.94,51.94,50.13,51.00,11161000,0
06/21/2000,16:00,50.06,50.38,49.19,49.44,13845300,0
06/22/2000,16:00,49.19,50.00,47.94,48.75,15694200,0
06/23/2000,16:00,48.69,49.88,48.56,49.88,10195700,0
06/26/2000,16:00,49.38,50.06,49.06,49.94,9103300,0
06/27/2000,16:00,50.00,50.31,49.06,49.25,9813100,0
06/28/2000,16:00,49.75,50.81,49.56,50.54,13238800,0
06/29/2000,16:00,50.50,50.50,49.31,49.75,12893000,0
06/30/2000,16:00,49.25,51.38,49.06,51.25,19095400,0
07/03/2000,16:00,52.50,52.50,51.38,52.00,6585700,0
07/05/2000,16:00,52.25,52.25,49.50,49.94,13557300,0
07/06/2000,16:00,50.06,51.00,49.81,50.19,9616500,0
07/07/2000,16:00,50.75,51.50,50.31,51.31,9937800,0
07/10/2000,16:00,51.31,52.63,51.13,52.44,12246700,0
07/11/2000,16:00,52.31,53.38,52.06,53.13,12907100,0
07/12/2000,16:00,53.88,53.88,52.25,53.38,10782400,0
07/13/2000,16:00,53.25,54.00,51.94,52.88,16100000,0
07/14/2000,16:00,52.31,52.50,51.50,51.50,11123900,0
07/17/2000,16:00,51.56,54.44,51.56,53.69,18372600,0
07/18/2000,16:00,53.63,53.75,52.25,52.25,11987100,0
07/19/2000,16:00,52.94,53.31,52.56,52.75,9531300,0
07/20/2000,16:00,53.19,54.75,52.81,54.31,11221300,0
07/21/2000,16:00,54.63,54.75,53.63,54.13,13019700,0
07/24/2000,16:00,54.19,54.63,53.63,53.75,8396200,0
07/25/2000,16:00,54.00,54.19,52.75,53.88,6986900,0
07/26/2000,16:00,53.94,53.94,52.19,52.75,5113500,0
07/27/2000,16:00,52.63,53.06,52.25,52.38,13714400,0
07/28/2000,16:00,52.50,52.63,50.38,50.88,8555600,0
07/31/2000,16:00,51.63,52.88,51.44,51.56,17128000,0
08/01/2000,16:00,51.94,52.88,51.81,52.56,12994900,0
08/02/2000,16:00,52.44,52.81,51.50,52.00,15445700,0
08/03/2000,16:00,53.88,53.88,51.94,52.06,10886400,0
08/04/2000,16:00,51.88,53.50,51.19,53.38,9088500,0
08/07/2000,16:00,52.13,53.63,52.13,53.06,7711300,0
08/08/2000,16:00,53.06,53.81,52.00,53.75,8807800,0
08/09/2000,16:00,53.88,56.19,53.63,55.75,21581200,0
08/10/2000,16:00,55.88,57.19,55.50,56.88,16250400,0
08/11/2000,16:00,56.13,57.38,55.75,56.56,10032500,0
08/14/2000,16:00,56.38,57.13,55.81,57.00,6224300,0
08/15/2000,16:00,56.75,57.38,56.19,57.25,10790600,0
08/16/2000,16:00,57.25,57.25,56.19,56.81,7451700,0
08/17/2000,16:00,56.31,57.25,56.00,56.69,10330000,0
08/18/2000,16:00,56.19,56.50,55.75,56.19,8319800,0
08/21/2000,16:00,56.69,57.06,56.13,56.56,7814700,0
08/22/2000,16:00,56.63,56.94,56.06,56.25,8087500,0
08/23/2000,16:00,56.25,58.06,56.13,57.88,11312800,0
08/24/2000,16:00,58.06,59.56,57.75,58.94,12000800,0
08/25/2000,16:00,59.06,59.56,58.88,59.25,8077900,0
08/28/2000,16:00,59.50,60.75,59.44,60.00,12556000,0
08/29/2000,16:00,59.56,59.94,59.19,59.69,5969800,0
08/30/2000,16:00,59.13,59.31,57.13,57.56,10481900,0
08/31/2000,16:00,57.25,59.31,57.19,58.63,11905700,0
09/01/2000,16:00,59.25,59.69,57.81,58.44,7740500,0
09/05/2000,16:00,58.44,58.94,57.94,58.44,9307300,0
09/06/2000,16:00,58.94,59.25,58.50,59.00,14588300,0
09/07/2000,16:00,58.88,59.19,58.19,59.00,8031600,0
09/08/2000,16:00,58.81,60.00,58.25,59.88,10884400,0
09/11/2000,16:00,59.50,60.06,58.69,59.50,11777700,0
09/12/2000,16:00,59.50,59.75,58.94,59.06,10179200,0
09/13/2000,16:00,58.81,59.63,58.56,59.06,7602800,0
09/14/2000,16:00,59.19,59.38,58.31,59.00,7924800,0
09/15/2000,16:00,58.50,58.63,56.38,56.75,20244200,0
09/18/2000,16:00,56.69,58.38,56.63,57.75,12820500,0
09/19/2000,16:00,57.56,57.94,56.63,57.00,11888100,0
09/20/2000,16:00,56.63,57.06,55.00,56.63,14131800,0
09/21/2000,16:00,55.63,57.88,55.56,56.25,10721700,0
09/22/2000,16:00,57.88,58.00,55.00,57.31,14250200,0
09/25/2000,16:00,57.00,58.31,56.88,58.06,11005300,0
09/26/2000,16:00,57.06,58.81,57.06,58.00,14044800,0
09/27/2000,16:00,58.19,59.50,57.81,59.44,14682200,0
09/28/2000,16:00,59.19,59.75,58.63,59.00,11164700,0
09/29/2000,16:00,58.38,58.88,57.69,57.81,10709500,0
10/02/2000,16:00,58.00,58.88,57.75,58.50,11897200,0
10/03/2000,16:00,58.63,59.88,58.50,59.06,12229500,0
10/04/2000,16:00,58.88,59.75,58.63,58.88,11421200,0
10/05/2000,16:00,59.13,59.94,58.06,59.75,11778400,0
10/06/2000,16:00,59.50,59.94,57.81,59.44,14005800,0
10/09/2000,16:00,59.13,59.81,58.44,58.50,9687600,0
10/10/2000,16:00,58.75,59.19,57.56,58.06,11008000,0
10/11/2000,16:00,56.75,57.69,55.31,56.63,18511100,0
10/12/2000,16:00,56.56,57.13,54.00,54.50,17409600,0
10/13/2000,16:00,54.63,57.63,54.50,57.00,15559900,0
10/16/2000,16:00,57.00,57.88,56.63,57.75,12993900,0
10/17/2000,16:00,57.69,57.69,54.94,55.63,16857700,0
10/18/2000,16:00,53.75,55.81,52.88,55.50,18415100,0
10/19/2000,16:00,55.50,55.94,54.75,55.63,13173000,0
10/20/2000,16:00,54.75,55.25,51.63,52.13,17999600,0
10/23/2000,16:00,51.63,52.00,49.00,49.75,71395400,0
10/24/2000,16:00,50.50,53.38,50.06,53.38,46040900,0
10/25/2000,16:00,53.38,53.88,52.13,52.94,29252400,0
10/26/2000,16:00,53.00,53.38,51.38,52.13,18682800,0
10/27/2000,16:00,52.69,53.19,51.81,52.25,15464000,0
10/30/2000,16:00,52.44,54.00,52.25,54.00,18234000,0
10/31/2000,16:00,54.13,54.94,53.81,54.81,17264000,0
11/01/2000,16:00,54.75,54.94,53.88,54.44,15900200,0
11/02/2000,16:00,54.25,55.00,53.50,53.69,14338200,0
11/03/2000,16:00,53.81,53.88,52.94,53.31,12062500,0
11/06/2000,16:00,53.56,54.56,53.31,54.50,11943900,0
11/07/2000,16:00,54.50,55.06,54.25,54.94,9680200,0
11/08/2000,16:00,54.88,55.25,54.13,54.56,9482600,0
11/09/2000,16:00,54.06,54.88,53.13,54.56,12295100,0
11/10/2000,16:00,53.75,54.38,53.25,53.88,12252700,0
11/13/2000,16:00,52.00,53.25,50.50,51.44,18458500,0
11/14/2000,16:00,51.44,53.13,51.25,52.75,14707500,0
11/15/2000,16:00,52.38,53.06,51.56,52.50,12136300,0
11/16/2000,16:00,52.25,53.56,52.06,52.63,10313200,0
11/17/2000,16:00,52.69,53.44,51.19,51.88,11987700,0
11/20/2000,16:00,51.25,51.94,49.88,50.06,14794900,0
11/21/2000,16:00,50.06,51.56,50.00,50.75,12194000,0
11/22/2000,16:00,50.00,50.06,48.38,48.56,22223500,0
11/24/2000,16:00,49.50,49.81,49.06,49.38,6303000,0
11/27/2000,16:00,50.13,50.81,49.13,49.13,16086000,0
11/28/2000,16:00,49.13,50.19,48.75,49.81,14812300,0
11/29/2000,16:00,49.25,50.94,49.00,49.69,12740300,0
11/30/2000,16:00,49.25,50.06,47.94,49.56,20149100,0
12/01/2000,16:00,50.88,51.44,50.31,51.00,18202900,0
12/04/2000,16:00,51.00,51.88,50.81,51.63,11993500,0
12/05/2000,16:00,51.75,54.50,51.63,54.13,19991000,0
12/06/2000,16:00,53.56,54.13,52.88,53.94,15878700,0
12/07/2000,16:00,53.13,54.13,53.13,53.50,10359200,0
12/08/2000,16:00,54.50,55.56,54.31,55.19,16858500,0
12/11/2000,16:00,55.19,56.19,54.38,55.31,16445000,0
12/12/2000,16:00,53.94,55.06,52.31,52.81,25319900,0
12/13/2000,16:00,52.81,53.63,52.75,53.00,17563400,0
12/14/2000,16:00,52.75,52.81,51.44,51.44,15750200,0
12/15/2000,16:00,50.38,51.25,49.25,49.81,35899600,0
12/18/2000,16:00,50.56,51.44,50.50,51.00,13941300,0
12/19/2000,16:00,51.00,51.44,50.13,50.13,15377800,0
12/20/2000,16:00,48.56,49.50,47.44,47.44,20264400,0
12/21/2000,16:00,47.56,48.50,47.19,47.88,19675700,0
12/22/2000,16:00,48.13,49.38,47.88,48.88,11700000,0
12/26/2000,16:00,48.63,49.44,48.06,49.31,9113800,0
12/27/2000,16:00,49.19,49.75,48.19,48.19,12231700,0
12/28/2000,16:00,48.94,49.19,47.63,48.44,12562000,0
12/29/2000,16:00,48.50,48.88,47.63,47.94,10983300,0
01/02/2001,16:00,46.75,47.00,42.63,43.75,36837700,0
01/03/2001,16:00,44.25,47.94,43.81,47.81,39207800,0
01/04/2001,16:00,47.31,48.75,47.13,48.06,26926600,0
01/05/2001,16:00,47.75,47.81,46.06,47.31,22790400,0
01/08/2001,16:00,47.25,47.25,44.63,45.56,23210900,0
01/09/2001,16:00,45.94,46.25,43.75,44.63,20066000,0
01/10/2001,16:00,44.13,45.13,43.19,44.69,24805300,0
01/11/2001,16:00,45.63,47.00,45.25,46.56,23599600,0
01/12/2001,16:00,46.81,46.94,45.00,45.69,16802900,0
01/16/2001,16:00,45.69,47.56,45.63,47.38,19758500,0
01/17/2001,16:00,48.00,48.50,46.44,46.69,24412000,0
01/18/2001,16:00,47.38,48.06,46.63,47.63,19290300,0
01/19/2001,16:00,47.81,48.13,46.63,47.00,19360100,0
01/22/2001,16:00,46.88,47.38,45.44,45.75,20692300,0
01/23/2001,16:00,46.50,47.13,46.13,46.69,21121700,0
01/24/2001,16:00,46.50,47.19,45.81,46.31,19145100,0
01/25/2001,16:00,46.38,47.19,45.81,45.94,20812300,0
01/26/2001,16:00,46.44,46.81,44.56,44.63,26858500,0
01/29/2001,16:00,44.87,45.12,44.00,44.38,23027200,0
01/30/2001,16:00,44.76,46.27,44.40,46.25,19843100,0
01/31/2001,16:00,46.75,46.95,45.56,45.98,21346100,0
02/01/2001,16:00,46.50,46.75,45.90,46.23,17587100,0
02/02/2001,16:00,46.25,46.90,45.47,46.28,16040500,0
02/05/2001,16:00,46.38,48.10,46.05,47.85,21847000,0
02/06/2001,16:00,47.85,48.10,47.20,47.60,15962600,0
