"Date","Time","Open","High","Low","Close","Vol","OI"
01/03/2000,16:00,68.63,69.19,63.81,65.19,12030600,0
01/04/2000,16:00,64.00,64.31,61.19,61.69,8722000,0
01/05/2000,16:00,61.75,63.00,61.00,62.00,6939800,0
01/06/2000,16:00,61.63,62.00,60.00,60.00,6607600,0
01/07/2000,16:00,61.75,63.50,60.75,63.50,6207300,0
01/10/2000,16:00,62.00,63.56,62.00,63.19,5455400,0
01/11/2000,16:00,63.44,63.63,61.25,61.56,4371600,0
01/12/2000,16:00,61.56,62.06,60.69,61.06,4629400,0
01/13/2000,16:00,62.13,62.50,61.50,62.13,4538900,0
01/14/2000,16:00,62.38,62.44,61.19,61.94,4578000,0
01/18/2000,16:00,61.25,61.25,60.13,60.50,5322000,0
01/19/2000,16:00,60.13,62.44,60.13,61.88,5176400,0
01/20/2000,16:00,61.56,61.75,59.88,60.81,7084100,0
01/21/2000,16:00,61.50,61.50,59.44,59.75,6682500,0
01/24/2000,16:00,60.94,60.94,56.69,58.00,7339600,0
01/25/2000,16:00,57.00,57.13,54.88,56.13,10252400,0
01/26/2000,16:00,55.94,57.69,55.06,57.38,8468400,0
01/27/2000,16:00,57.88,59.50,56.19,58.25,6915900,0
01/28/2000,16:00,57.00,57.44,55.50,55.63,7425100,0
01/31/2000,16:00,56.50,56.81,55.06,56.63,5958600,0
02/01/2000,16:00,56.94,61.31,56.81,61.00,10929700,0
02/02/2000,16:00,61.00,61.50,59.63,60.75,5862100,0
02/03/2000,16:00,60.50,60.63,59.00,60.50,4008800,0
02/04/2000,16:00,61.00,61.50,60.31,61.13,4063900,0
02/07/2000,16:00,61.00,61.00,59.00,59.00,3818600,0
02/08/2000,16:00,59.75,61.44,59.56,61.00,4501700,0
02/09/2000,16:00,61.31,61.31,58.88,59.00,5289400,0
02/10/2000,16:00,59.00,59.94,58.38,59.56,3644900,0
02/11/2000,16:00,59.50,60.50,59.19,60.06,4647100,0
02/14/2000,16:00,59.50,60.50,59.44,60.31,3173900,0
02/15/2000,16:00,60.06,60.19,59.06,59.75,3531100,0
02/16/2000,16:00,58.75,59.38,55.75,56.75,6829100,0
02/17/2000,16:00,57.25,57.44,53.56,54.50,10794800,0
02/18/2000,16:00,54.56,56.06,52.81,53.75,10484800,0
02/22/2000,16:00,54.13,55.56,53.13,53.63,8019200,0
02/23/2000,16:00,54.19,55.00,52.88,54.81,6534200,0
02/24/2000,16:00,54.94,55.19,52.54,53.06,8518100,0
02/25/2000,16:00,53.50,54.25,52.75,53.00,6157500,0
02/28/2000,16:00,53.75,56.88,52.94,56.81,8120200,0
02/29/2000,16:00,57.44,58.44,56.81,57.50,7119900,0
03/01/2000,16:00,57.81,58.31,54.31,55.63,6504000,0
03/02/2000,16:00,55.56,56.25,54.19,55.13,5353000,0
03/03/2000,16:00,55.50,55.81,54.38,54.50,5835400,0
03/06/2000,16:00,54.38,54.69,53.13,53.75,4819800,0
03/07/2000,16:00,55.00,55.00,51.00,52.38,8491800,0
03/08/2000,16:00,52.31,53.75,51.69,52.50,6631300,0
03/09/2000,16:00,53.31,55.50,51.75,55.31,5736400,0
