"Date","Time","Open","High","Low","Close","Vol","OI"
01/03/2000,16:00,49.83,50.25,48.17,48.67,12018989,0
01/04/2000,16:00,47.08,47.46,46.13,47.00,11691241,0
01/05/2000,16:00,46.83,48.38,46.00,46.96,8714506,0
01/06/2000,16:00,46.75,48.63,46.50,47.63,8369208,0
01/07/2000,16:00,48.42,49.00,47.33,48.50,6571317,0
01/10/2000,16:00,48.50,48.92,47.67,47.67,4723476,0
01/11/2000,16:00,46.67,46.96,45.50,46.54,8405957,0
01/12/2000,16:00,46.46,47.25,46.33,46.83,7271813,0
01/13/2000,16:00,47.42,48.33,47.04,47.54,6918865,0
01/14/2000,16:00,49.29,50.58,48.54,49.25,9746801,0
01/18/2000,16:00,49.29,49.67,46.83,47.33,5566622,0
01/19/2000,16:00,48.17,50.25,48.17,49.42,15734621,0
01/20/2000,16:00,50.25,50.67,48.50,48.67,7758261,0
01/21/2000,16:00,49.25,49.33,48.42,48.63,5160574,0
01/24/2000,16:00,49.58,49.71,48.13,48.67,6459117,0
01/25/2000,16:00,48.67,50.50,48.67,49.75,7579912,0
01/26/2000,16:00,50.25,52.67,50.00,52.29,8386608,0
01/27/2000,16:00,52.96,54.33,52.38,53.79,8165959,0
01/28/2000,16:00,53.04,53.04,51.08,51.13,7499962,0
01/31/2000,16:00,51.21,54.33,51.21,53.79,7135014,0
02/01/2000,16:00,54.96,56.33,54.21,55.83,9647201,0
02/02/2000,16:00,55.33,56.13,54.25,54.92,7126164,0
02/03/2000,16:00,55.67,56.58,53.50,55.46,9200203,0
02/04/2000,16:00,55.00,55.54,54.38,54.50,5115124,0
02/07/2000,16:00,54.79,55.58,54.50,54.79,4684176,0
02/08/2000,16:00,56.04,57.42,55.58,56.71,6318568,0
02/09/2000,16:00,56.63,57.58,54.96,55.25,9818500,0
02/10/2000,16:00,55.42,55.83,54.25,55.42,6880465,0
02/11/2000,16:00,55.50,56.67,54.67,55.08,7052514,0
02/14/2000,16:00,54.83,55.63,52.71,52.71,5904720,0
02/15/2000,16:00,53.38,55.00,53.08,54.04,8965455,0
02/16/2000,16:00,54.00,54.79,52.67,53.00,4829675,0
02/17/2000,16:00,53.75,54.33,51.88,52.25,5735221,0
02/18/2000,16:00,52.04,52.38,49.71,49.83,8121259,0
02/22/2000,16:00,50.67,52.58,50.08,51.50,7195164,0
02/23/2000,16:00,51.58,52.79,51.04,51.58,4453927,0
02/24/2000,16:00,51.50,51.71,49.75,50.18,5807670,0
02/25/2000,16:00,51.08,52.50,49.92,50.58,4644426,0
02/28/2000,16:00,51.17,53.50,50.92,51.96,6050969,0
02/29/2000,16:00,51.79,54.00,51.79,53.08,6166919,0
03/01/2000,16:00,53.25,54.67,52.58,54.67,4866275,0
03/02/2000,16:00,53.67,54.08,53.17,53.71,3599982,0
03/03/2000,16:00,54.67,54.92,52.92,54.08,5981370,0
03/06/2000,16:00,55.29,56.25,54.83,55.63,5691421,0
03/07/2000,16:00,55.63,56.13,54.00,54.54,4567177,0
03/08/2000,16:00,53.83,54.29,52.42,52.67,5247723,0
03/09/2000,16:00,52.50,54.17,52.04,54.08,3971980,0
03/10/2000,16:00,53.33,54.38,51.83,52.46,5311323,0
03/13/2000,16:00,51.75,54.13,51.42,53.38,4723776,0
03/14/2000,16:00,53.67,53.96,52.33,52.67,4129629,0
03/15/2000,16:00,51.92,56.13,51.46,55.19,8861655,0
03/16/2000,16:00,56.63,60.25,56.13,60.08,15634871,0
03/17/2000,16:00,59.50,61.50,59.00,60.67,11787841,0
03/20/2000,16:00,60.00,60.33,56.33,57.71,8076109,0
03/21/2000,16:00,57.63,61.67,57.00,61.33,8345508,0
